Name,NTF,Scattering,Constructors,Methods,LoCs,VP,Tangling,DT_Max,DT_Min,NGOr_Max,NGXOr_Max,BF_Max,NO,NTop,NLeaf,NVCF,NomesFeatures
ArgoUML/AbstractActionAddModelElement2.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/AbstractFilePersister.java,2,211,70,444,3311,761,4,2,2,0,0,0,2,0,2,X, ; LOGGING ; COGNITIVE
ArgoUML/AbstractMessageNotationUml.java,2,218,71,439,3099,755,18,3,2,0,0,0,2,0,2,X, ; LOGGING ; COLLABORATIONDIAGRAM
ArgoUML/AbstractSection.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ActionAddClassifierRoleBase.java,2,27,4,34,339,51,21,3,3,0,0,0,2,0,2,X, ; COLLABORATIONDIAGRAM ; SEQUENCEDIAGRAM
ArgoUML/ActionAddConcurrentRegion.java,2,217,69,440,3030,752,19,3,2,0,0,0,2,0,2,X, ; LOGGING ; STATEDIAGRAM
ArgoUML/ActionAddDiagram.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ActionAddEventAsDeferrableEvent.java,2,52,3,63,656,83,57,3,3,0,0,0,2,0,2,X, ; ACTIVITYDIAGRAM ; STATEDIAGRAM
ArgoUML/ActionAddEventAsTrigger.java,2,52,3,63,656,83,57,3,3,0,0,0,2,0,2,X, ; ACTIVITYDIAGRAM ; STATEDIAGRAM
ArgoUML/ActionAddExtensionPoint.java,1,7,1,6,106,13,6,3,3,0,0,0,1,0,1,X, ; USECASEDIAGRAM
ArgoUML/ActionAddMessagePredecessor.java,2,27,4,34,339,51,21,3,3,0,0,0,2,0,2,X, ; COLLABORATIONDIAGRAM ; SEQUENCEDIAGRAM
ArgoUML/ActionClassDiagram.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ActionCompartmentDisplay.java,1,7,1,6,106,13,6,3,3,0,0,0,1,0,1,X, ; USECASEDIAGRAM
ArgoUML/ActionCreateEdgeModelElement.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ActionDeleteModelElements.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ActionDeploymentDiagram.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ActionExportProfileXMI.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ActionImportFromSources.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ActionNew.java,1,12,1,26,399,31,4,2,2,0,0,0,1,0,1,X, ; COGNITIVE
ArgoUML/ActionNewAction.java,4,79,7,97,995,134,78,3,3,0,0,0,4,0,4,X, ; ACTIVITYDIAGRAM ; COLLABORATIONDIAGRAM ; SEQUENCEDIAGRAM ; STATEDIAGRAM
ArgoUML/ActionNewCallEvent.java,2,52,3,63,656,83,57,3,3,0,0,0,2,0,2,X, ; ACTIVITYDIAGRAM ; STATEDIAGRAM
ArgoUML/ActionNewChangeEvent.java,2,52,3,63,656,83,57,3,3,0,0,0,2,0,2,X, ; ACTIVITYDIAGRAM ; STATEDIAGRAM
ArgoUML/ActionNewClassifierInState.java,1,34,3,41,538,61,38,3,3,0,0,0,1,0,1,X, ; ACTIVITYDIAGRAM
ArgoUML/ActionNewCompositeState.java,2,52,3,63,656,83,57,3,3,0,0,0,2,0,2,X, ; ACTIVITYDIAGRAM ; STATEDIAGRAM
ArgoUML/ActionNewDiagram.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ActionNewEntryCallAction.java,1,19,2,21,187,25,18,3,3,0,0,0,1,0,1,X, ; COLLABORATIONDIAGRAM
ArgoUML/ActionNewEvent.java,2,52,3,63,656,83,57,3,3,0,0,0,2,0,2,X, ; ACTIVITYDIAGRAM ; STATEDIAGRAM
ArgoUML/ActionNewFinalState.java,2,52,3,63,656,83,57,3,3,0,0,0,2,0,2,X, ; ACTIVITYDIAGRAM ; STATEDIAGRAM
