ESPLACatalog,,SPL2go,,SPLRepository,
Name,Language,Name,Language,Name,Language
Airbag,Architecture model (medini model artefacts),AHEAD_Tool_Suite,"ANT (XML), HTML",,
Alcatel-Lucent IXM-PF,C and C++,Arithmetic_Expression_Evaluator,Haskell,AHEAD-bali,
algorithms.js,Javascript,BankAccount,"Java, JML",AHEAD-guidsl,
AndroZoo,"Android, Java",BankAccount v2,"Java, JML",AHEAD-java,
ApacheWeb Server,Feature model,BattleOfTanks,Java,Arith-FH-Haskell,Haskell
ApoGames,"Android, Java",Berkeley_DB_Documentation,"Java, HTML",BankAccount-FH-JML,FH-JML
ArgoUML,Java,Berkeley_DB_Java_Edition,"Java, HTML",BankAccountTests-FH-JML,FH-JML
ArgoUML SPL JVM Bytecode,JVM Bytecode,Chat Application,Java,BankAccountTP-FH-JML,FH-JML
ArgoUML UML,UML class model,Chat_HyperJ,Java,BerkeleyDB-FH-Java,Java
ArgoUML/SPL,Java,DesktopSearcher,Java,DesktopSearcher-AHEAD,AHEAD
Automarker systems,Text document,DiGraph,"Java, JML",Devolution-AHEAD,AHEAD
Banking System,UML class model,Elevator JML,"Java, JML",DiGraph-FH-JML,FH-JML
Baxter Biocience,Bill of materials,Elevator_C,C,Elevator-FH-AspectJ,
Berkeley DB,Feature model,Elevator_Java,"Java, AspectJ",Elevator-FH-C,
BlueJ,Java,Email JML,"Java, JML",Elevator-FH-Java,Java
BMD .NET-based Business Software,"Plugins, .NET Libraries",EmailSystem_C,C,Elevator-FH-JML,FH-JML
BMW car web configurator,Web,EmailSystem_Java,"Java, AspectJ",Email-FH-AspectJ,
Body Comfort System,"Statechart models in IBM Rational Raphsody, and Excel file for requirements",ExamDB,"Java, JML",Email-FH-JML,
brackets,Javascript,FAME_DBMS,C++,EmailSystem-FH-C,
BSH induction hob families,Propietary DSL called IHDSL and C code,FeatureAMP,Java,EmailSystem-FH-Java,Java
BSH induction hobs,"Propietary DSL called IHDSL (46 meta-classes, 74 references, 180 properties)",Functional_Graph_Library,CIDE,EPL-AHEAD,AHEAD
