file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
src,testset.TestFormatToolBar,class,5,6,2,0,14,0,2,1,0,1,0,0,6,149
src,specifications.Configuration,class,0,0,1,0,0,0,0,0,0,17,17,17,0,166
src,testset.TestFileMenuBar,class,8,53,2,0,26,378,13,10,0,0,0,0,9,394
src,smashed.About,class,1,1,5,0,2,0,1,1,0,0,0,0,1,28
src,trie.Queue,class,3,23,1,0,4,0,12,12,0,6,0,0,0,148
src,smashed.UndoAction,class,2,6,2,0,10,0,3,2,0,1,0,0,1,46
src,testset.TestExample_Paulo,class,11,51,2,0,33,253,17,14,0,0,0,0,0,350
src,smashed.Fonts,class,3,6,6,0,16,0,4,4,0,15,1,0,7,148
src,testset.TestFormatMenuBar,class,5,18,2,0,15,9,6,5,0,1,0,0,20,140
src,testset.NotepadTest,class,8,4,1,11,6,4,3,2,0,2,1,0,0,76
src,smashed.Notepad,class,7,78,6,0,53,0,12,12,2,28,2,0,37,645
src,testset.TestHelp,class,9,15,2,0,18,21,4,3,0,0,0,0,0,90
src,smashed.RedoAction,class,2,6,2,0,10,0,3,2,0,1,0,0,1,47
src,testset.TestWordCount,class,6,15,2,0,15,21,3,2,0,0,0,0,0,91
src,trie.PersistTrie,class,2,15,1,0,15,45,10,7,10,0,0,0,13,83
src,smashed.ExampleFileFilter,class,1,39,2,0,15,16,12,12,0,6,0,2,0,255
src,specifications.SpecificationException,class,0,2,4,0,0,0,2,2,0,1,0,0,0,11
src,testset.Helper,class,12,30,1,0,29,298,11,11,11,2,1,2,5,257
src,smashed.Print,class,2,14,1,0,16,13,6,6,3,1,0,0,5,80
src,testset.TestEditToolBar,class,8,27,2,0,22,40,9,4,0,3,0,0,0,160
src,smashed.Center,class,3,4,1,0,5,0,4,4,0,2,0,0,2,55
src,testset.Test_New,class,1,1,1,0,1,0,1,1,0,0,0,0,0,11
src,testset.TestEditMenuBar,class,5,18,2,0,14,15,9,7,0,3,0,0,1,143
src,testset.NotepadJUnitTest_lest,class,8,41,2,0,15,153,7,6,0,0,0,0,0,234
src,testset.TestFileToolBar,class,7,36,2,0,21,105,7,6,0,0,0,0,11,287
src,trie.TrieST,class,3,62,1,0,18,52,17,11,0,5,0,1,0,284
src,smashed.Actions,class,7,80,1,0,53,0,19,19,0,9,1,0,21,581
src,testset.TestAll,class,14,0,2,0,0,0,0,0,0,0,0,0,0,18
src,testset.TestTextArea,class,5,7,2,0,10,3,2,1,0,0,0,0,0,49
