file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
src,testset.TaskManagerWindowTest,class,6,6,1,0,8,0,6,6,0,1,0,0,2,57
src,tasks.TaskEditorPanel,class,4,7,5,0,15,4,5,5,0,5,0,0,2,72
src,testset.TaskTest,class,4,26,1,0,20,0,10,9,0,1,0,0,0,117
src,tasks.Task,class,2,28,1,0,10,42,12,11,0,4,0,0,1,73
src,tasks.Observer,interface,1,1,1,0,0,0,1,1,0,0,0,0,0,4
src,testset.LastTaskLabelTest,class,4,5,1,0,8,0,3,3,0,1,0,0,1,46
src,testset.TaskEditorPanelTest_,class,8,6,1,0,22,0,4,4,0,1,0,0,7,76
src,tasks.LastTaskLabel,class,2,4,5,0,2,1,2,2,0,0,0,0,0,14
src,specifications.SpecificationException,class,0,2,4,0,0,0,2,2,0,1,0,0,0,11
src,tasks.TaskSelectorPanel,class,2,7,5,0,8,4,5,5,0,1,1,0,0,33
src,testset.TaskHistoryPanelTest,class,4,3,1,0,14,0,3,3,0,1,0,0,0,52
src,testset.TaskSelectorPanelTest,class,4,7,1,0,14,0,5,5,0,1,0,0,0,68
src,tasks.TaskHistoryPanel,class,3,2,5,0,9,0,2,2,0,1,0,0,0,21
src,specifications.Configuration,class,0,0,1,0,0,0,0,0,0,3,3,3,0,117
src,testset.TaskEditorPanelTest,class,3,4,1,0,12,0,4,4,0,1,0,0,0,72
src,tasks.Subject,interface,1,3,1,0,0,3,3,3,0,0,0,0,0,6
src,tasks.TaskManagerWindow,class,5,8,7,0,4,9,6,5,1,4,0,1,1,40
