file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
backup,ButtonListener,class,2,18,2,0,22,3,7,7,0,2,0,0,0,83
backup,HitDocument,class,1,13,5,0,8,0,4,4,0,4,0,1,4,145
backup,MainFrame,class,13,25,19,0,60,61,14,14,1,16,12,1,6,315
backup,OS,class,0,2,1,0,0,1,2,2,2,0,0,0,0,10
backup,OptionStorage,class,1,9,1,0,0,4,9,9,0,7,3,3,0,91
backup,HitComponentLabel,class,1,1,5,0,10,0,1,1,0,0,0,0,0,40
backup,SearchResultTree,class,1,31,1,0,32,9,6,6,0,2,0,0,5,156
backup,UI,interface,2,2,1,0,0,1,2,2,0,0,0,0,0,5
backup,Plain,class,4,7,2,0,13,6,4,4,1,0,0,0,2,73
backup,OptionWindow,class,3,15,1,0,32,3,4,2,1,6,0,0,8,145
backup,ContentHandler,class,5,6,1,1,10,10,5,4,2,0,0,0,0,62
backup,MrPinkMain,class,11,32,7,0,20,45,11,8,2,2,0,0,1,176
backup,Indexer,class,20,56,4,0,44,101,19,15,0,4,0,0,1,414
backup,IndexerException,class,0,1,3,0,0,0,1,1,0,1,0,1,0,9
