file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
src,specifications.Configuration,class,0,0,1,0,0,0,0,0,0,7,7,7,0,101
src,tests.TestMAB,class,7,10,2,0,13,6,4,4,0,0,0,0,1,76
src,main.Board,class,3,66,1,0,26,6,13,7,0,2,1,1,6,209
src,main.Structure,class,2,3,2,0,3,3,3,2,2,3,3,3,3,28
src,tests.BoardManagerTest,class,5,36,1,0,23,0,14,14,0,1,0,0,0,170
src,main.Solver,interface,1,1,1,0,0,0,1,1,0,0,0,0,0,4
src,main.Guesser,class,2,11,1,0,8,0,1,1,0,0,0,0,0,38
src,specifications.SpecificationException,class,0,2,4,0,0,0,2,2,0,1,0,0,0,11
src,main.SudokuFacade,class,5,47,1,0,12,0,12,12,0,3,0,0,0,126
src,tests.TestMain,class,3,3,2,0,7,3,3,3,0,0,0,0,0,98
src,tests.BoardTest,class,5,21,1,0,10,0,7,7,0,1,0,0,0,85
src,main.ForcedNumber,class,3,13,1,0,6,0,1,1,0,0,0,0,4,36
src,main.AbstractEnum,class,1,27,1,1,18,62,13,4,7,5,0,3,9,280
src,main.ForcedField,class,3,9,1,0,6,0,1,1,0,0,0,0,0,16
src,tests.FieldTest,class,3,30,1,0,13,0,8,8,0,1,0,0,0,114
src,tests.SudokuGeneratorTest,class,6,14,1,0,10,0,4,4,0,1,0,0,1,65
src,tests.SudokuFacadeTest,class,7,20,1,0,18,0,8,8,0,1,0,0,0,96
src,main.SudokuGenerator,class,3,18,1,0,14,3,3,2,1,0,0,0,1,65
src,tests.SudokuTest,class,2,3,1,2,3,3,3,2,0,0,0,0,0,28
src,main.Field,class,1,47,1,0,14,0,14,12,0,6,1,1,0,206
src,main.BoardManager,class,7,99,1,0,33,54,21,15,0,4,0,0,12,295
src,main.NotSolvableException,class,0,2,3,0,0,1,2,2,0,0,0,0,0,21
