"configuration","trace","description"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testWhithDraw(testset.ATMUserInterfaceTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","","testWhithDrawAllValue(testset.ATMUserInterfaceTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","","testWithdrawUserAuthenticatedFalse(testset.ATMUserInterfaceTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at org.junit.Assert.fail(Assert.java:86)","printBalanceTest(testset.BalanceInquiryTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at org.junit.Assert.fail(Assert.java:86)","testPromptForDepositAmountWithInvalidInput(testset.DepositTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at org.junit.Assert.fail(Assert.java:86)","testPromptForDepositAmountWithValidInput(testset.DepositTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at org.junit.Assert.fail(Assert.java:86)","printLogTest(testset.LoggerTest)"
"LOGGING:trueDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at org.junit.Assert.fail(Assert.java:86)","testCreateTransaction(testset.ATMTest)"
"LOGGING:trueDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testToMakeLogging(testset.ATMUserInterfaceTest)"
"LOGGING:trueDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testTotalDeposit(testset.ATMUserInterfaceTest)"
"LOGGING:trueDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testToMakeLogout(testset.ATMUserInterfaceTest)"
"LOGGING:trueDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testWhithDraw(testset.ATMUserInterfaceTest)"
"LOGGING:trueDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testBalance(testset.ATMUserInterfaceTest)"
"LOGGING:trueDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testDepositUserAuthenticatedFalse(testset.ATMUserInterfaceTest)"
"LOGGING:trueDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testWhithDrawAllValue(testset.ATMUserInterfaceTest)"
"LOGGING:trueDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testIsUserExited(testset.ATMUserInterfaceTest)"
"LOGGING:trueDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testgGetCurrentAccountNumber(testset.ATMUserInterfaceTest)"
"LOGGING:trueDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testDeposit(testset.ATMUserInterfaceTest)"
"LOGGING:trueDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testWithdrawUserAuthenticatedFalse(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:trueWITHDRAWING:trueBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testTotalDeposit(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:trueWITHDRAWING:trueBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testBalance(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:trueWITHDRAWING:trueBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at org.junit.Assert.fail(Assert.java:86)","testPromptForDepositAmountWithInvalidInput(testset.DepositTest)"
"LOGGING:falseDEPOSITING:trueWITHDRAWING:trueBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at org.junit.Assert.fail(Assert.java:86)","testPromptForDepositAmountWithValidInput(testset.DepositTest)"
"LOGGING:falseDEPOSITING:trueWITHDRAWING:trueBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at org.junit.Assert.fail(Assert.java:86)","printLogTest(testset.LoggerTest)"
"LOGGING:falseDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:false","","testTotalDeposit(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testDepositUserAuthenticatedFalse(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testWhithDrawAllValue(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testDeposit(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testWithdrawUserAuthenticatedFalse(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:false","	at org.junit.Assert.fail(Assert.java:86)","printBalanceTest(testset.BalanceInquiryTest)"
"LOGGING:falseDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:false","	at org.junit.Assert.fail(Assert.java:86)","printLogTest(testset.LoggerTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testWhithDraw(testset.ATMUserInterfaceTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testBalance(testset.ATMUserInterfaceTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testWhithDrawAllValue(testset.ATMUserInterfaceTest)"
