"configuration","trace","description"
"WORDCOUNTTOOLBAR:true WORDCOUNTMENUBAR:true UNDOREDOTOOLBAR:true UNDOREDOMENUBAR:true SEARCHTOOLBAR:true SEARCHMENUBAR:true PRINTTOOLBAR:true PRINTMENUBAR:true PERSISTENCETOOLBAR:true PERSISTENCEMENUBAR:true FORMATTOOLBAR:false FORMATMENUBAR:false EDITTOOLBAR:true EDITMENUBAR:true BASETOOLBAR:true BASEMENUBAR:true BASE:true","","testNewMenuBarNo(testset.TestFileMenuBar)"
"WORDCOUNTTOOLBAR:true WORDCOUNTMENUBAR:true UNDOREDOTOOLBAR:true UNDOREDOMENUBAR:true SEARCHTOOLBAR:true SEARCHMENUBAR:true PRINTTOOLBAR:true PRINTMENUBAR:true PERSISTENCETOOLBAR:true PERSISTENCEMENUBAR:true FORMATTOOLBAR:false FORMATMENUBAR:false EDITTOOLBAR:true EDITMENUBAR:true BASETOOLBAR:true BASEMENUBAR:true BASE:true","","testNewToolBarNo(testset.TestFileToolBar)"
"WORDCOUNTTOOLBAR:false WORDCOUNTMENUBAR:false UNDOREDOTOOLBAR:false UNDOREDOMENUBAR:false SEARCHTOOLBAR:true SEARCHMENUBAR:true PRINTTOOLBAR:false PRINTMENUBAR:false PERSISTENCETOOLBAR:true PERSISTENCEMENUBAR:true FORMATTOOLBAR:true FORMATMENUBAR:true EDITTOOLBAR:true EDITMENUBAR:true BASETOOLBAR:true BASEMENUBAR:true BASE:true","","testNewMenuBarNo(testset.TestFileMenuBar)"
"WORDCOUNTTOOLBAR:false WORDCOUNTMENUBAR:false UNDOREDOTOOLBAR:false UNDOREDOMENUBAR:false SEARCHTOOLBAR:true SEARCHMENUBAR:true PRINTTOOLBAR:false PRINTMENUBAR:false PERSISTENCETOOLBAR:true PERSISTENCEMENUBAR:true FORMATTOOLBAR:true FORMATMENUBAR:true EDITTOOLBAR:true EDITMENUBAR:true BASETOOLBAR:true BASEMENUBAR:true BASE:true","","testNewToolBarNo(testset.TestFileToolBar)"
"WORDCOUNTTOOLBAR:false WORDCOUNTMENUBAR:true UNDOREDOTOOLBAR:false UNDOREDOMENUBAR:true SEARCHTOOLBAR:false SEARCHMENUBAR:true PRINTTOOLBAR:false PRINTMENUBAR:false PERSISTENCETOOLBAR:false PERSISTENCEMENUBAR:false FORMATTOOLBAR:false FORMATMENUBAR:true EDITTOOLBAR:false EDITMENUBAR:false BASETOOLBAR:false BASEMENUBAR:true BASE:true","","testNewMenuBarNo(testset.TestFileMenuBar)"
"WORDCOUNTTOOLBAR:false WORDCOUNTMENUBAR:true UNDOREDOTOOLBAR:false UNDOREDOMENUBAR:true SEARCHTOOLBAR:false SEARCHMENUBAR:true PRINTTOOLBAR:false PRINTMENUBAR:false PERSISTENCETOOLBAR:false PERSISTENCEMENUBAR:false FORMATTOOLBAR:false FORMATMENUBAR:true EDITTOOLBAR:false EDITMENUBAR:false BASETOOLBAR:false BASEMENUBAR:true BASE:true","","testNewToolBarNo(testset.TestFileToolBar)"
"WORDCOUNTTOOLBAR:true WORDCOUNTMENUBAR:true UNDOREDOTOOLBAR:false UNDOREDOMENUBAR:false SEARCHTOOLBAR:false SEARCHMENUBAR:false PRINTTOOLBAR:false PRINTMENUBAR:false PERSISTENCETOOLBAR:false PERSISTENCEMENUBAR:false FORMATTOOLBAR:true FORMATMENUBAR:true EDITTOOLBAR:true EDITMENUBAR:true BASETOOLBAR:true BASEMENUBAR:true BASE:true","","testNewMenuBarNo(testset.TestFileMenuBar)"
"WORDCOUNTTOOLBAR:true WORDCOUNTMENUBAR:true UNDOREDOTOOLBAR:false UNDOREDOMENUBAR:false SEARCHTOOLBAR:false SEARCHMENUBAR:false PRINTTOOLBAR:false PRINTMENUBAR:false PERSISTENCETOOLBAR:false PERSISTENCEMENUBAR:false FORMATTOOLBAR:true FORMATMENUBAR:true EDITTOOLBAR:true EDITMENUBAR:true BASETOOLBAR:true BASEMENUBAR:true BASE:true","","testNewToolBarNo(testset.TestFileToolBar)"
"WORDCOUNTTOOLBAR:false WORDCOUNTMENUBAR:false UNDOREDOTOOLBAR:false UNDOREDOMENUBAR:false SEARCHTOOLBAR:false SEARCHMENUBAR:false PRINTTOOLBAR:false PRINTMENUBAR:true PERSISTENCETOOLBAR:false PERSISTENCEMENUBAR:true FORMATTOOLBAR:false FORMATMENUBAR:false EDITTOOLBAR:false EDITMENUBAR:false BASETOOLBAR:false BASEMENUBAR:true BASE:true","","testNewMenuBarNo(testset.TestFileMenuBar)"
"WORDCOUNTTOOLBAR:false WORDCOUNTMENUBAR:false UNDOREDOTOOLBAR:false UNDOREDOMENUBAR:false SEARCHTOOLBAR:false SEARCHMENUBAR:false PRINTTOOLBAR:false PRINTMENUBAR:true PERSISTENCETOOLBAR:false PERSISTENCEMENUBAR:true FORMATTOOLBAR:false FORMATMENUBAR:false EDITTOOLBAR:false EDITMENUBAR:false BASETOOLBAR:false BASEMENUBAR:true BASE:true","","testNewToolBarNo(testset.TestFileToolBar)"
