"configuration","trace","description"
" WEIGHTED:false UNDIRECTED:false STRONGLYCONNECTED:true SHORTEST:false SEARCH:false NUMBER:false MSTPRIM:false MSTKRUSKAL:false DIRECTED:true CYCLE:true CONNECTED:false BFS:false BASE:true","	at org.junit.Assert.fail(Assert.java:86)","run_STRONGLYCONNECTEDTest(tests.GraphTest)"
" WEIGHTED:true UNDIRECTED:true STRONGLYCONNECTED:false SHORTEST:false SEARCH:false NUMBER:false MSTPRIM:true MSTKRUSKAL:false DIRECTED:false CYCLE:false CONNECTED:true BFS:true BASE:true","	at org.junit.Assert.fail(Assert.java:86)","runMSTPRIM_Test(tests.GraphTest)"
" WEIGHTED:false UNDIRECTED:false STRONGLYCONNECTED:true SHORTEST:false SEARCH:false NUMBER:true MSTPRIM:false MSTKRUSKAL:false DIRECTED:true CYCLE:false CONNECTED:false BFS:false BASE:true","	at org.junit.Assert.fail(Assert.java:86)","run_STRONGLYCONNECTEDTest(tests.GraphTest)"
" WEIGHTED:true UNDIRECTED:true STRONGLYCONNECTED:false SHORTEST:false SEARCH:false NUMBER:false MSTPRIM:true MSTKRUSKAL:false DIRECTED:false CYCLE:true CONNECTED:true BFS:false BASE:true","	at org.junit.Assert.fail(Assert.java:86)","runMSTPRIM_Test(tests.GraphTest)"
" WEIGHTED:false UNDIRECTED:false STRONGLYCONNECTED:true SHORTEST:false SEARCH:false NUMBER:false MSTPRIM:false MSTKRUSKAL:false DIRECTED:true CYCLE:false CONNECTED:false BFS:false BASE:true","	at org.junit.Assert.fail(Assert.java:86)","run_STRONGLYCONNECTEDTest(tests.GraphTest)"
" WEIGHTED:true UNDIRECTED:true STRONGLYCONNECTED:false SHORTEST:false SEARCH:false NUMBER:true MSTPRIM:true MSTKRUSKAL:false DIRECTED:false CYCLE:true CONNECTED:true BFS:false BASE:true","	at org.junit.Assert.fail(Assert.java:86)","runMSTPRIM_Test(tests.GraphTest)"
" WEIGHTED:true UNDIRECTED:true STRONGLYCONNECTED:false SHORTEST:false SEARCH:false NUMBER:false MSTPRIM:true MSTKRUSKAL:false DIRECTED:false CYCLE:false CONNECTED:false BFS:true BASE:true","	at org.junit.Assert.fail(Assert.java:86)","runMSTPRIM_Test(tests.GraphTest)"
" WEIGHTED:true UNDIRECTED:true STRONGLYCONNECTED:false SHORTEST:false SEARCH:false NUMBER:true MSTPRIM:false MSTKRUSKAL:false DIRECTED:false CYCLE:true CONNECTED:true BFS:false BASE:true","	at org.junit.Assert.fail(Assert.java:86)","runCYCLE_Test(tests.GraphTest)"
" WEIGHTED:true UNDIRECTED:false STRONGLYCONNECTED:false SHORTEST:false SEARCH:false NUMBER:false MSTPRIM:false MSTKRUSKAL:false DIRECTED:true CYCLE:true CONNECTED:false BFS:false BASE:true","	at org.junit.Assert.fail(Assert.java:86)","runCYCLE_Test(tests.GraphTest)"
" WEIGHTED:true UNDIRECTED:false STRONGLYCONNECTED:false SHORTEST:false SEARCH:false NUMBER:true MSTPRIM:false MSTKRUSKAL:false DIRECTED:true CYCLE:true CONNECTED:false BFS:false BASE:true","	at org.junit.Assert.fail(Assert.java:86)","runCYCLE_Test(tests.GraphTest)"
