"configuration","trace","description"
"volumecontrol:falseskiptrack:falseremovetrack:falsetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:trueplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:truemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:falseskins:truedark:trueopenfile:trueclearplaylist:false","	at featureAmp.view.App.initGui__wrappee__Playlist(App.java:316)","setSkinColorTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:falseremovetrack:falsetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:trueplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:truemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:falseskins:truedark:trueopenfile:trueclearplaylist:false","	at featureAmp.view.App.initGui__wrappee__Playlist(App.java:316)","setTitleTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:falseremovetrack:falsetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:trueplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:truemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:falseskins:truedark:trueopenfile:trueclearplaylist:false","	at featureAmp.view.App.initGui__wrappee__Playlist(App.java:316)","playWAVTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:trueremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:trueplaylist:truecontrol:truelight:truesaveandloadplaylist:truegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:trueloadfolder:trueshufflerepeat:truebase:truemp3:falseskins:truedark:falseopenfile:trueclearplaylist:true","	at featureAmp.view.App.initGui__wrappee__Playlist(App.java:316)","setSkinColorTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:trueremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:trueplaylist:truecontrol:truelight:truesaveandloadplaylist:truegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:trueloadfolder:trueshufflerepeat:truebase:truemp3:falseskins:truedark:falseopenfile:trueclearplaylist:true","	at featureAmp.view.App.initGui__wrappee__Playlist(App.java:316)","setTitleTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:trueremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:trueplaylist:truecontrol:truelight:truesaveandloadplaylist:truegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:trueloadfolder:trueshufflerepeat:truebase:truemp3:falseskins:truedark:falseopenfile:trueclearplaylist:true","	at featureAmp.view.App.initGui__wrappee__Playlist(App.java:316)","playWAVTest(testset.AppGUITest)"
"volumecontrol:trueskiptrack:trueremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:trueplaylist:truecontrol:truelight:falsesaveandloadplaylist:truegui:truefeatureamp:truequeuetrack:truemute:trueprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:falseskins:truedark:trueopenfile:trueclearplaylist:false","	at featureAmp.view.App.initGui__wrappee__Playlist(App.java:316)","setSkinColorTest(testset.AppGUITest)"
"volumecontrol:trueskiptrack:trueremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:trueplaylist:truecontrol:truelight:falsesaveandloadplaylist:truegui:truefeatureamp:truequeuetrack:truemute:trueprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:falseskins:truedark:trueopenfile:trueclearplaylist:false","	at featureAmp.view.App.initGui__wrappee__Playlist(App.java:316)","setTitleTest(testset.AppGUITest)"
"volumecontrol:trueskiptrack:trueremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:trueplaylist:truecontrol:truelight:falsesaveandloadplaylist:truegui:truefeatureamp:truequeuetrack:truemute:trueprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:falseskins:truedark:trueopenfile:trueclearplaylist:false","	at featureAmp.view.App.initGui__wrappee__Playlist(App.java:316)","playWAVTest(testset.AppGUITest)"
"volumecontrol:trueskiptrack:trueremovetrack:falsetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:truegui:truefeatureamp:truequeuetrack:truemute:trueprogressbar:trueshowtime:trueid3information:trueshowcover:trueloadfolder:trueshufflerepeat:truebase:truemp3:falseskins:truedark:trueopenfile:trueclearplaylist:false","	at featureAmp.view.App.initGui__wrappee__Playlist(App.java:316)","setSkinColorTest(testset.AppGUITest)"
"volumecontrol:trueskiptrack:trueremovetrack:falsetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:truegui:truefeatureamp:truequeuetrack:truemute:trueprogressbar:trueshowtime:trueid3information:trueshowcover:trueloadfolder:trueshufflerepeat:truebase:truemp3:falseskins:truedark:trueopenfile:trueclearplaylist:false","	at featureAmp.view.App.initGui__wrappee__Playlist(App.java:316)","setTitleTest(testset.AppGUITest)"
"volumecontrol:trueskiptrack:trueremovetrack:falsetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:truegui:truefeatureamp:truequeuetrack:truemute:trueprogressbar:trueshowtime:trueid3information:trueshowcover:trueloadfolder:trueshufflerepeat:truebase:truemp3:falseskins:truedark:trueopenfile:trueclearplaylist:false","	at featureAmp.view.App.initGui__wrappee__Playlist(App.java:316)","playWAVTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:trueremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:truesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:truemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:falseskins:truedark:falseopenfile:trueclearplaylist:true","	at featureAmp.view.App.initGui__wrappee__Playlist(App.java:316)","setSkinColorTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:trueremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:truesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:truemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:falseskins:truedark:falseopenfile:trueclearplaylist:true","	at featureAmp.view.App.initGui__wrappee__Playlist(App.java:316)","setTitleTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:trueremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:truesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:truemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:falseskins:truedark:falseopenfile:trueclearplaylist:true","	at featureAmp.view.App.initGui__wrappee__Playlist(App.java:316)","playWAVTest(testset.AppGUITest)"
