configuration,trace,description,,,,
volumecontrol:falseskiptrack:trueremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:trueplaylist:truecontrol:truelight:truesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:trueskins:truedark:falseopenfile:trueclearplaylist:false,app,progressBarTest(testset.AppGUITest),,progressBarTest(testset.AppGUITest),28,APP
volumecontrol:falseskiptrack:falseremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:trueplaylist:truecontrol:truelight:truesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:trueskins:truedark:falseopenfile:trueclearplaylist:false,APP,playSkipTrackTest(testset.AppGUITest),,showtimeTest(testset.AppGUITest),33,PlaylistHandler 
volumecontrol:falseskiptrack:falseremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:trueplaylist:truecontrol:truelight:truesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:trueskins:truedark:falseopenfile:trueclearplaylist:true,APP,playSkipTrackTest(testset.AppGUITest),,playSkipTrackTest(testset.AppGUITest),22,APP
volumecontrol:falseskiptrack:falseremovetrack:falsetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:trueplaylist:truecontrol:truelight:truesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:trueskins:truedark:falseopenfile:trueclearplaylist:false,APP,playSkipTrackTest(testset.AppGUITest),,,,
volumecontrol:falseskiptrack:falseremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:trueplaylist:truecontrol:truelight:truesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:trueskins:truedark:falseopenfile:trueclearplaylist:false,APP,playSkipTrackTest(testset.AppGUITest),,,,
volumecontrol:falseskiptrack:falseremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:trueplaylist:truecontrol:truelight:truesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:trueskins:truedark:falseopenfile:trueclearplaylist:true,APP,playSkipTrackTest(testset.AppGUITest),,,,
volumecontrol:falseskiptrack:falseremovetrack:falsetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:trueplaylist:truecontrol:truelight:truesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:trueskins:truedark:falseopenfile:trueclearplaylist:false,APP,playSkipTrackTest(testset.AppGUITest),,,,
volumecontrol:falseskiptrack:trueremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:truesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:trueskins:truedark:falseopenfile:trueclearplaylist:true,APP,showtimeTest(testset.AppGUITest),,,,
volumecontrol:falseskiptrack:falseremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:truesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:trueskins:truedark:falseopenfile:trueclearplaylist:false,PlaylistHandler ,showtimeTest(testset.AppGUITest),,,,
volumecontrol:falseskiptrack:falseremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:truesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:trueskins:truedark:falseopenfile:trueclearplaylist:false,PlaylistHandler ,playSkipTrackTest(testset.AppGUITest),,,,
