"configuration","trace","description"
"featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:falseprogressbar:truemute:trueshowtime:falsecontrolplayist:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:trueclearplaylist:false","	at org.junit.Assert.assertEquals(Assert.java:115)","muteTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:falselightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:true","	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)","clearplaylistTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:falseprogressbar:truemute:trueshowtime:truecontrolplayist:falseshowcover:trueloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:trueclearplaylist:false","	at org.junit.Assert.assertEquals(Assert.java:115)","muteTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:trueprogressbar:truemute:trueshowtime:falsecontrolplayist:trueshowcover:falseloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:trueclearplaylist:true","	at org.junit.Assert.assertEquals(Assert.java:115)","muteTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:trueprogressbar:truemute:trueshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:false","	at org.junit.Assert.assertEquals(Assert.java:115)","muteTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:trueshowtime:truecontrolplayist:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:false","	at org.junit.Assert.assertEquals(Assert.java:115)","muteTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:trueprogressbar:truemute:trueshowtime:truecontrolplayist:falseshowcover:falseloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:trueclearplaylist:false","	at org.junit.Assert.assertEquals(Assert.java:115)","muteTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:falsedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:falsemute:trueshowtime:truecontrolplayist:falseshowcover:trueloadfolder:falseshufflerepeat:falseogg:falsemp3:trueskins:trueclearplaylist:false","	at org.junit.Assert.assertEquals(Assert.java:115)","muteTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:trueshowtime:truecontrolplayist:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:false","	at org.junit.Assert.assertEquals(Assert.java:115)","muteTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:trueshowtime:truecontrolplayist:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:trueclearplaylist:false","	at org.junit.Assert.assertEquals(Assert.java:115)","muteTest(testset.AppGUITest)"
