configuration,trace,description,,,,
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:falseprogressbar:truemute:trueshowtime:falsecontrolplayist:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:true,"	at org.junit.Assert.assertEquals(Assert.java:115)
",muteTest(testset.AppGUITest),,muteTest(testset.AppGUITest),21,Gui 
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:falselightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:falseshowtime:truecontrolplayist:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:true,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",clearplaylistTest(testset.AppGUITest),,clearplaylistTest(testset.AppGUITest),6,Gui 
featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:trueprogressbar:truemute:trueshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:false,"	at org.junit.Assert.assertEquals(Assert.java:115)
",muteTest(testset.AppGUITest),,playOGGTest(testset.AppGUITest),4,Gui 
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:trueshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:trueclearplaylist:false,"	at org.junit.Assert.assertEquals(Assert.java:115)
",muteTest(testset.AppGUITest),,playMP3Test(testset.AppGUITest),2,Gui 
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:trueshowtime:falsecontrolplayist:falseshowcover:falseloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:trueclearplaylist:false,"	at org.junit.Assert.assertEquals(Assert.java:115)
",muteTest(testset.AppGUITest),,volumecontrolTest(testset.AppGUITest),2,Gui 
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:falseprogressbar:truemute:trueshowtime:falsecontrolplayist:trueshowcover:falseloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:trueclearplaylist:false,"	at org.junit.Assert.assertEquals(Assert.java:115)
",muteTest(testset.AppGUITest),,progressBarTest(testset.AppGUITest),1,Gui 
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:falseprogressbar:truemute:trueshowtime:truecontrolplayist:falseshowcover:trueloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:trueclearplaylist:false,"	at org.junit.Assert.assertEquals(Assert.java:115)
",muteTest(testset.AppGUITest),,removeTrackTest(testset.AppGUITest),2,Gui 
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:trueprogressbar:truemute:trueshowtime:truecontrolplayist:falseshowcover:trueloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:trueclearplaylist:false,"	at org.junit.Assert.assertEquals(Assert.java:115)
",muteTest(testset.AppGUITest),,playModeTest(testset.AppGUITest),2,Gui 
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:falseprogressbar:truemute:trueshowtime:falsecontrolplayist:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:true,"	at org.junit.Assert.assertEquals(Assert.java:115)
",muteTest(testset.AppGUITest),,removePlayListTest(testset.AppGUITest),4,Gui 
featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:falseshowtime:falsecontrolplayist:trueshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:falseskins:trueclearplaylist:false,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",playOGGTest(testset.AppGUITest),,reorderplaylistTest(testset.AppGUITest),10,Gui 
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:falsedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:falsemute:trueshowtime:truecontrolplayist:falseshowcover:falseloadfolder:falseshufflerepeat:falseogg:truemp3:trueskins:trueclearplaylist:false,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",playMP3Test(testset.AppGUITest),,playSkipTrackTest(testset.AppGUITest),6,Gui 
featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:falsedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:falsemute:trueshowtime:truecontrolplayist:falseshowcover:falseloadfolder:falseshufflerepeat:falseogg:truemp3:trueskins:trueclearplaylist:false,"	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)
",muteTest(testset.AppGUITest),,,,
