VolumeControl:false, SkipTrack:false, PlayEngine:true, RemoveTrack:false, WAV:true, ReorderPlaylist:false, Playlist:false, Control:false, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, FileSupport:true, QueueTrack:false, ProgressBar:true, Mute:false, ShowTime:true, LoadFolder:false, TrackTime:true, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:false, ChooseFile:true, ClearPlaylist:false, showCover:false, 
VolumeControl:false, SkipTrack:false, PlayEngine:true, RemoveTrack:false, WAV:true, ReorderPlaylist:false, Playlist:false, Control:false, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, FileSupport:true, QueueTrack:false, ProgressBar:true, Mute:false, ShowTime:true, LoadFolder:false, TrackTime:true, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:true, ChooseFile:true, ClearPlaylist:false, showCover:false, 
VolumeControl:false, SkipTrack:false, PlayEngine:true, RemoveTrack:false, WAV:true, ReorderPlaylist:false, Playlist:false, Control:false, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, FileSupport:true, QueueTrack:false, ProgressBar:true, Mute:false, ShowTime:false, LoadFolder:false, TrackTime:true, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:false, ChooseFile:true, ClearPlaylist:false, showCover:false, 
VolumeControl:false, SkipTrack:false, PlayEngine:true, RemoveTrack:false, WAV:true, ReorderPlaylist:false, Playlist:false, Control:false, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, FileSupport:true, QueueTrack:false, ProgressBar:true, Mute:false, ShowTime:false, LoadFolder:false, TrackTime:true, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:true, ChooseFile:true, ClearPlaylist:false, showCover:false, 
VolumeControl:false, SkipTrack:false, PlayEngine:true, RemoveTrack:false, WAV:true, ReorderPlaylist:false, Playlist:false, Control:false, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, FileSupport:true, QueueTrack:false, ProgressBar:false, Mute:false, ShowTime:true, LoadFolder:false, TrackTime:true, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:false, ChooseFile:true, ClearPlaylist:false, showCover:false, 
VolumeControl:false, SkipTrack:false, PlayEngine:true, RemoveTrack:false, WAV:true, ReorderPlaylist:false, Playlist:false, Control:false, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, FileSupport:true, QueueTrack:false, ProgressBar:false, Mute:false, ShowTime:true, LoadFolder:false, TrackTime:true, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:true, ChooseFile:true, ClearPlaylist:false, showCover:false, 
VolumeControl:false, SkipTrack:false, PlayEngine:true, RemoveTrack:false, WAV:false, ReorderPlaylist:false, Playlist:false, Control:false, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, FileSupport:true, QueueTrack:false, ProgressBar:true, Mute:false, ShowTime:true, LoadFolder:false, TrackTime:true, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:false, ChooseFile:true, ClearPlaylist:false, showCover:false, 
VolumeControl:false, SkipTrack:false, PlayEngine:true, RemoveTrack:false, WAV:false, ReorderPlaylist:false, Playlist:false, Control:false, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, FileSupport:true, QueueTrack:false, ProgressBar:true, Mute:false, ShowTime:true, LoadFolder:false, TrackTime:true, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:true, ChooseFile:true, ClearPlaylist:false, showCover:false, 
VolumeControl:false, SkipTrack:false, PlayEngine:true, RemoveTrack:false, WAV:false, ReorderPlaylist:false, Playlist:false, Control:false, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, FileSupport:true, QueueTrack:false, ProgressBar:true, Mute:false, ShowTime:false, LoadFolder:false, TrackTime:true, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:false, ChooseFile:true, ClearPlaylist:false, showCover:false, 
VolumeControl:false, SkipTrack:false, PlayEngine:true, RemoveTrack:false, WAV:false, ReorderPlaylist:false, Playlist:false, Control:false, Light:false, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, FileSupport:true, QueueTrack:false, ProgressBar:true, Mute:false, ShowTime:false, LoadFolder:false, TrackTime:true, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:true, ChooseFile:true, ClearPlaylist:false, showCover:false, 
VolumeControl:false, SkipTrack:false, PlayEngine:true, RemoveTrack:false, WAV:false, ReorderPlaylist:false, Playlist:false, Control:false, Light:true, SaveAndLoadPlaylist:false, GUI:true, FeatureAMP:true, FileSupport:true, QueueTrack:false, ProgressBar:false, Mute:false, ShowTime:true, LoadFolder:false, TrackTime:true, ShuffleRepeat:false, OGG:true, MP3:true, Skins:true, Dark:false, ChooseFile:true, ClearPlaylist:false, showCover:false, 
