configuration,trace,description,,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:trueremovetrack:truereorderplaylist:trueplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:truedark:falseclearplaylist:false,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,loadTest(testset.FeatureAMP9serInterfaceTest)
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:trueremovetrack:truereorderplaylist:trueplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:truedark:falseclearplaylist:false,"	at java.awt.Container.addImpl(Unknown Source)
",init__wrappee__GUITest(testset.GUITest),,init__wrappee__GUITest(testset.GUITest)
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:trueremovetrack:truereorderplaylist:trueplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:truedark:falseclearplaylist:true,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:trueremovetrack:truereorderplaylist:trueplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:truedark:falseclearplaylist:false,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:trueremovetrack:truereorderplaylist:trueplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:truedark:falseclearplaylist:true,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:falseremovetrack:truereorderplaylist:trueplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:truedark:falseclearplaylist:false,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:falseremovetrack:truereorderplaylist:trueplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:truedark:falseclearplaylist:true,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:falseremovetrack:truereorderplaylist:trueplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:truedark:falseclearplaylist:false,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:falseremovetrack:truereorderplaylist:trueplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:truedark:falseclearplaylist:true,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:trueremovetrack:falsereorderplaylist:trueplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:truedark:falseclearplaylist:false,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:trueremovetrack:falsereorderplaylist:trueplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:truedark:falseclearplaylist:false,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:falseremovetrack:falsereorderplaylist:trueplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:truedark:falseclearplaylist:false,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:falseremovetrack:falsereorderplaylist:trueplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:truedark:falseclearplaylist:false,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:trueremovetrack:truereorderplaylist:falseplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:truedark:falseclearplaylist:false,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:trueremovetrack:truereorderplaylist:falseplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:truedark:falseclearplaylist:true,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:trueremovetrack:truereorderplaylist:falseplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:truedark:falseclearplaylist:false,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:trueremovetrack:truereorderplaylist:falseplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:truedark:falseclearplaylist:true,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:falseremovetrack:truereorderplaylist:falseplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:truedark:falseclearplaylist:false,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:falseremovetrack:truereorderplaylist:falseplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:truedark:falseclearplaylist:true,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:falseremovetrack:truereorderplaylist:falseplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:truedark:falseclearplaylist:false,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:falseremovetrack:truereorderplaylist:falseplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:truedark:falseclearplaylist:true,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:trueremovetrack:falsereorderplaylist:falseplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:truedark:falseclearplaylist:false,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:trueremovetrack:falsereorderplaylist:falseplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:trueskins:truedark:falseclearplaylist:false,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:falseremovetrack:falsereorderplaylist:falseplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:truedark:falseclearplaylist:false,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:trueremovetrack:truereorderplaylist:trueplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:falseshowcover:falseloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:truedark:falseclearplaylist:false,"
",loadTest(testset.FeatureAMP9serInterfaceTest),,
