"configuration","trace","description"
" WEIGHTED:true UNDIRECTED:false STRONGLYCONNECTED:false SHORTEST:false SEARCH:true NUMBER:true MSTPRIM:false MSTKRUSKAL:false DIRECTED:true CYCLE:true CONNECTED:false BFS:false BASE:true","	at org.junit.Assert.fail(Assert.java:86)","runCYCLE_Test(tests.GraphTest)"
" WEIGHTED:false UNDIRECTED:false STRONGLYCONNECTED:true SHORTEST:false SEARCH:true NUMBER:true MSTPRIM:false MSTKRUSKAL:false DIRECTED:true CYCLE:true CONNECTED:false BFS:false BASE:true","	at org.junit.Assert.fail(Assert.java:86)","run_STRONGLYCONNECTEDTest(tests.GraphTest)"
" WEIGHTED:false UNDIRECTED:false STRONGLYCONNECTED:true SHORTEST:false SEARCH:true NUMBER:false MSTPRIM:false MSTKRUSKAL:false DIRECTED:true CYCLE:false CONNECTED:false BFS:false BASE:true","	at org.junit.Assert.fail(Assert.java:86)","run_STRONGLYCONNECTEDTest(tests.GraphTest)"
" WEIGHTED:false UNDIRECTED:false STRONGLYCONNECTED:true SHORTEST:false SEARCH:true NUMBER:false MSTPRIM:false MSTKRUSKAL:false DIRECTED:true CYCLE:true CONNECTED:false BFS:false BASE:true","	at org.junit.Assert.fail(Assert.java:86)","run_STRONGLYCONNECTEDTest(tests.GraphTest)"
" WEIGHTED:true UNDIRECTED:false STRONGLYCONNECTED:false SHORTEST:false SEARCH:true NUMBER:false MSTPRIM:false MSTKRUSKAL:false DIRECTED:true CYCLE:true CONNECTED:false BFS:false BASE:true","	at org.junit.Assert.fail(Assert.java:86)","runCYCLE_Test(tests.GraphTest)"
" WEIGHTED:false UNDIRECTED:false STRONGLYCONNECTED:true SHORTEST:false SEARCH:true NUMBER:true MSTPRIM:false MSTKRUSKAL:false DIRECTED:true CYCLE:false CONNECTED:false BFS:false BASE:true","	at org.junit.Assert.fail(Assert.java:86)","run_STRONGLYCONNECTEDTest(tests.GraphTest)"
" WEIGHTED:true UNDIRECTED:true STRONGLYCONNECTED:false SHORTEST:false SEARCH:true NUMBER:true MSTPRIM:false MSTKRUSKAL:false DIRECTED:false CYCLE:true CONNECTED:true BFS:false BASE:true","	at org.junit.Assert.fail(Assert.java:86)","runCYCLE_Test(tests.GraphTest)"
" WEIGHTED:true UNDIRECTED:true STRONGLYCONNECTED:false SHORTEST:false SEARCH:true NUMBER:true MSTPRIM:false MSTKRUSKAL:false DIRECTED:false CYCLE:true CONNECTED:false BFS:false BASE:true","	at org.junit.Assert.fail(Assert.java:86)","runCYCLE_Test(tests.GraphTest)"
" WEIGHTED:true UNDIRECTED:true STRONGLYCONNECTED:false SHORTEST:false SEARCH:true NUMBER:false MSTPRIM:false MSTKRUSKAL:false DIRECTED:false CYCLE:true CONNECTED:true BFS:false BASE:true","	at org.junit.Assert.fail(Assert.java:86)","runCYCLE_Test(tests.GraphTest)"
" WEIGHTED:true UNDIRECTED:true STRONGLYCONNECTED:false SHORTEST:false SEARCH:true NUMBER:false MSTPRIM:false MSTKRUSKAL:false DIRECTED:false CYCLE:true CONNECTED:false BFS:false BASE:true","	at org.junit.Assert.fail(Assert.java:86)","runCYCLE_Test(tests.GraphTest)"
