"configuration","trace","description"
"base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:falsestartcommand:false","	at org.junit.Assert.fail(Assert.java:87)","startTest(testset.PL_Interface_implTest)"
"base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:falsestartcommand:false","	at org.junit.Assert.fail(Assert.java:87)","test_3(testset.PL_Interface_implTest)"
"base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:falsestartcommand:false","	at org.junit.Assert.fail(Assert.java:87)","test_4(testset.PL_Interface_implTest)"
"base:truehighwatersensor:truelowwatersensor:falsemethanequery:truemethanealarm:falsestopcommand:falsestartcommand:true","	at org.junit.Assert.fail(Assert.java:87)","startTest(testset.PL_Interface_implTest)"
"base:truehighwatersensor:truelowwatersensor:falsemethanequery:truemethanealarm:falsestopcommand:falsestartcommand:true","	at org.junit.Assert.fail(Assert.java:87)","test_3(testset.PL_Interface_implTest)"
"base:truehighwatersensor:truelowwatersensor:falsemethanequery:truemethanealarm:falsestopcommand:falsestartcommand:true","	at org.junit.Assert.fail(Assert.java:87)","test_4(testset.PL_Interface_implTest)"
"base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:truestartcommand:false","	at org.junit.Assert.fail(Assert.java:87)","startTest(testset.PL_Interface_implTest)"
"base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:truestartcommand:false","	at org.junit.Assert.fail(Assert.java:87)","test_3(testset.PL_Interface_implTest)"
"base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:truestartcommand:false","	at org.junit.Assert.fail(Assert.java:87)","test_4(testset.PL_Interface_implTest)"
"base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:falsestartcommand:true","	at org.junit.Assert.fail(Assert.java:87)","startTest(testset.PL_Interface_implTest)"
"base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:falsestartcommand:true","	at org.junit.Assert.fail(Assert.java:87)","test_3(testset.PL_Interface_implTest)"
"base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:falsestartcommand:true","	at org.junit.Assert.fail(Assert.java:87)","test_4(testset.PL_Interface_implTest)"
