BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:true, INTEREST:false, INTERESTESTIMATION:false, LOCK:true, LOGGING:false, OVERDRAFT:false, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:false, CREDITWORTHINESS:false, DAILYLIMIT:false, INTEREST:false, INTERESTESTIMATION:false, LOCK:false, LOGGING:false, OVERDRAFT:false, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:true, INTEREST:false, INTERESTESTIMATION:false, LOCK:true, LOGGING:false, OVERDRAFT:true, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:false, INTEREST:true, INTERESTESTIMATION:true, LOCK:false, LOGGING:false, OVERDRAFT:true, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:true, INTEREST:true, INTERESTESTIMATION:false, LOCK:false, LOGGING:true, OVERDRAFT:true, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:true, DAILYLIMIT:true, INTEREST:true, INTERESTESTIMATION:true, LOCK:true, LOGGING:true, OVERDRAFT:false, TRANSACTION:true, TRANSACTIONLOG:true, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:false, INTEREST:true, INTERESTESTIMATION:true, LOCK:false, LOGGING:true, OVERDRAFT:false, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:true, INTEREST:false, INTERESTESTIMATION:false, LOCK:true, LOGGING:false, OVERDRAFT:true, TRANSACTION:true, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:false, INTEREST:false, INTERESTESTIMATION:false, LOCK:true, LOGGING:true, OVERDRAFT:false, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:false, INTEREST:true, INTERESTESTIMATION:true, LOCK:true, LOGGING:false, OVERDRAFT:true, TRANSACTION:true, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:false, INTEREST:true, INTERESTESTIMATION:false, LOCK:false, LOGGING:false, OVERDRAFT:true, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:true, INTEREST:true, INTERESTESTIMATION:true, LOCK:true, LOGGING:true, OVERDRAFT:false, TRANSACTION:true, TRANSACTIONLOG:true, 
BANKACCOUNT:true, CREDITWORTHINESS:true, DAILYLIMIT:true, INTEREST:false, INTERESTESTIMATION:false, LOCK:false, LOGGING:true, OVERDRAFT:false, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:true, INTEREST:false, INTERESTESTIMATION:false, LOCK:false, LOGGING:true, OVERDRAFT:true, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:true, DAILYLIMIT:false, INTEREST:true, INTERESTESTIMATION:true, LOCK:true, LOGGING:true, OVERDRAFT:true, TRANSACTION:true, TRANSACTIONLOG:true, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:true, INTEREST:true, INTERESTESTIMATION:true, LOCK:true, LOGGING:true, OVERDRAFT:true, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:false, INTEREST:true, INTERESTESTIMATION:true, LOCK:false, LOGGING:false, OVERDRAFT:false, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:true, INTEREST:true, INTERESTESTIMATION:true, LOCK:false, LOGGING:false, OVERDRAFT:true, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:false, INTEREST:true, INTERESTESTIMATION:false, LOCK:true, LOGGING:false, OVERDRAFT:true, TRANSACTION:true, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:true, DAILYLIMIT:true, INTEREST:true, INTERESTESTIMATION:true, LOCK:true, LOGGING:false, OVERDRAFT:false, TRANSACTION:true, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:true, DAILYLIMIT:true, INTEREST:true, INTERESTESTIMATION:true, LOCK:true, LOGGING:true, OVERDRAFT:true, TRANSACTION:true, TRANSACTIONLOG:true, 
BANKACCOUNT:true, CREDITWORTHINESS:true, DAILYLIMIT:false, INTEREST:true, INTERESTESTIMATION:true, LOCK:true, LOGGING:true, OVERDRAFT:false, TRANSACTION:true, TRANSACTIONLOG:true, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:true, INTEREST:false, INTERESTESTIMATION:false, LOCK:false, LOGGING:false, OVERDRAFT:false, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:true, INTEREST:false, INTERESTESTIMATION:false, LOCK:true, LOGGING:false, OVERDRAFT:false, TRANSACTION:true, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:true, INTEREST:false, INTERESTESTIMATION:false, LOCK:false, LOGGING:false, OVERDRAFT:true, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:true, DAILYLIMIT:false, INTEREST:true, INTERESTESTIMATION:true, LOCK:false, LOGGING:true, OVERDRAFT:false, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:true, DAILYLIMIT:true, INTEREST:true, INTERESTESTIMATION:true, LOCK:true, LOGGING:false, OVERDRAFT:true, TRANSACTION:true, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:true, DAILYLIMIT:false, INTEREST:false, INTERESTESTIMATION:false, LOCK:true, LOGGING:false, OVERDRAFT:false, TRANSACTION:true, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:false, INTEREST:true, INTERESTESTIMATION:false, LOCK:false, LOGGING:true, OVERDRAFT:false, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:true, INTEREST:false, INTERESTESTIMATION:false, LOCK:true, LOGGING:true, OVERDRAFT:true, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:true, INTEREST:false, INTERESTESTIMATION:false, LOCK:true, LOGGING:true, OVERDRAFT:false, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:true, INTEREST:true, INTERESTESTIMATION:true, LOCK:true, LOGGING:true, OVERDRAFT:false, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:true, DAILYLIMIT:false, INTEREST:true, INTERESTESTIMATION:false, LOCK:true, LOGGING:true, OVERDRAFT:true, TRANSACTION:true, TRANSACTIONLOG:true, 
BANKACCOUNT:true, CREDITWORTHINESS:true, DAILYLIMIT:false, INTEREST:true, INTERESTESTIMATION:false, LOCK:true, LOGGING:false, OVERDRAFT:false, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:false, INTEREST:true, INTERESTESTIMATION:false, LOCK:true, LOGGING:false, OVERDRAFT:false, TRANSACTION:true, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:false, INTEREST:true, INTERESTESTIMATION:true, LOCK:true, LOGGING:false, OVERDRAFT:true, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:true, DAILYLIMIT:false, INTEREST:true, INTERESTESTIMATION:true, LOCK:true, LOGGING:true, OVERDRAFT:true, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:false, INTEREST:false, INTERESTESTIMATION:false, LOCK:false, LOGGING:true, OVERDRAFT:false, TRANSACTION:false, TRANSACTIONLOG:false, 
BANKACCOUNT:true, CREDITWORTHINESS:false, DAILYLIMIT:true, INTEREST:true, INTERESTESTIMATION:true, LOCK:true, LOGGING:true, OVERDRAFT:true, TRANSACTION:true, TRANSACTIONLOG:true, 
