file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
src,org.argouml.cognitive.ui.PriorityNode,class,1,7,1,0,3,6,5,5,1,6,0,4,3,90
src,org.argouml.notation.providers.java.AssociationEndNameNotationJava,class,4,13,3,0,10,21,7,5,1,1,0,1,6,101
src,org.argouml.ui.cmd.KeyStrokeCellRenderer,class,8,73,11,0,65,170,25,20,0,17,0,4,33,563
src,org.argouml.uml.diagram.ui.ModeCreateGraphEdge,class,16,51,2,0,50,8,5,2,0,2,0,1,1,264
src,org.argouml.persistence.SaveException,class,1,3,4,0,0,3,3,3,0,0,0,0,0,57
src,org.argouml.application.ArgoVersion,class,0,2,1,0,1,1,2,0,1,2,0,2,1,56
src,org.argouml.uml.ui.behavior.collaborations.UMLClassifierRoleAvailableContentsListModel,class,5,32,4,0,33,10,5,3,0,0,0,0,12,158
src,org.argouml.uml.ui.behavior.common_behavior.UMLInstanceLinkEndListModel,class,1,5,4,0,5,3,3,1,0,0,0,0,2,52
src,org.argouml.uml.ui.behavior.common_behavior.UMLReceptionSignalComboBoxModel,class,4,17,3,0,25,10,5,2,0,0,0,0,9,102
src,org.argouml.uml.diagram.static_structure.ui.FigEnumeration,class,12,40,6,0,45,64,17,11,0,2,0,1,8,298
src,org.argouml.ui.explorer.rules.GoLinkToStimuli,class,1,7,2,0,5,3,3,3,0,0,0,0,4,65
src,org.argouml.uml.diagram.ui.ActionAddNote,class,11,31,2,0,43,3,3,2,0,3,0,3,14,186
src,org.argouml.notation.providers.uml.ComponentInstanceNotationUml,class,2,23,3,0,23,15,6,5,0,0,0,0,7,124
src,org.argouml.uml.cognitive.critics.InitCognitiveCritics,class,3,4,1,0,1,6,4,4,0,0,0,0,3,57
src,org.argouml.ui.explorer.rules.GoStereotypeToTagDefinition,class,1,11,2,0,8,10,5,5,0,0,0,0,6,83
src,org.argouml.model.mdr.CollaborationsFactoryMDRImpl,class,31,93,2,0,90,565,35,19,0,1,0,0,5,481
src,org.argouml.uml.cognitive.critics.CrNoGuard,class,2,11,4,0,19,3,3,3,0,0,0,0,13,92
src,org.argouml.uml.cognitive.critics.WizAddInstanceVariable,class,2,10,3,0,12,2,4,4,0,3,0,0,5,93
src,org.argouml.uml.diagram.ui.DnDJGraph,class,11,32,2,0,30,55,11,10,0,2,0,2,2,221
src,org.argouml.uml.ui.behavior.use_cases.PropPanelInclude,class,5,14,9,0,17,15,6,6,0,1,0,1,10,129
src,org.argouml.uml.ui.ActionRemoveTaggedValue,class,17,43,7,0,69,92,20,16,0,11,0,3,13,334
src,org.argouml.uml.ui.foundation.extension_mechanisms.ActionSetTagDefinitionNamespace,class,21,40,12,0,41,53,11,5,0,12,0,6,21,280
src,org.argouml.uml.ui.behavior.state_machines.UMLStateDeferrableEventListModel,class,1,4,4,0,6,6,4,2,0,0,0,0,3,59
src,org.argouml.uml.cognitive.critics.TestCrNoInitialState,class,3,3,2,0,13,1,3,2,0,4,0,0,6,52
src,org.argouml.cognitive.ui.ActionAutoCritique,class,2,2,3,0,10,1,2,2,0,1,0,1,7,66
src,org.argouml.ui.explorer.rules.GoEnumerationToLiterals,class,1,10,2,0,8,6,4,4,0,0,0,0,7,79
