file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc,
src,elevatorsystem.Environment,class,1,6,1,0,0,0,4,4,0,1,0,0,0,23,0
src,testset.ActionsTest,class,6,12,1,0,18,0,12,12,0,3,0,0,0,100,0
src,testset.PersonTest,class,4,3,1,0,9,0,3,3,0,2,0,0,0,28,0
src,specifications.SpecificationException,class,0,2,4,0,0,0,2,2,0,1,0,0,0,11,0
src,elevatorsystem.Actions,class,3,24,1,0,3,0,12,12,0,2,0,0,0,55,0
src,testset.EnvironmentTest,class,5,11,2,0,5,0,5,5,0,1,0,0,0,45,0
src,elevatorsystem.Elevator,class,7,120,1,0,31,123,27,19,0,11,2,1,1,263,0
src,testset.MainTest,class,7,22,1,0,9,0,9,7,0,4,0,0,0,132,0
src,testset.ElevatorTest,class,5,78,1,0,27,0,34,34,0,6,0,0,0,367,1
src,testset.FloorTest,class,6,4,1,0,12,6,4,4,0,0,0,0,0,42,0
src,specifications.Configuration,class,0,0,1,0,0,0,0,0,0,6,6,6,0,98,0
src,elevatorsystem.Person,class,2,8,1,0,3,14,8,8,0,5,0,0,0,37,0
src,elevatorsystem.Floor,class,2,10,1,0,5,16,9,9,0,3,0,0,0,40,0
