file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc,
src,featureamp.dialog.OpenDialog,class,2,47,3,0,27,45,8,2,0,0,0,0,0,165,0
src,featureamp.players.CommonPlayer,class,2,19,1,1,17,35,11,11,0,3,0,0,4,65,0
src,specifications.Configuration,class,0,0,1,0,0,0,0,0,0,34,34,34,0,41,0
src,featureamp.dialog.FileDialog,class,3,15,2,2,6,7,4,3,2,5,0,0,0,62,0
src,featureamp.OggSong,class,6,34,1,0,20,34,13,13,0,3,0,0,3,129,0
src,featureamp.players.Player,interface,1,14,1,0,0,91,14,14,0,0,0,0,0,25,0
src,featureamp.dialog.SongAppender,class,1,14,2,0,11,0,3,3,0,3,0,0,0,42,0
src,featureamp.reorderplaylist.TableRowTransferHandler,class,3,15,2,0,19,0,6,4,0,2,0,0,2,73,0
src,featureamp.gui.IconButton,class,1,10,6,0,14,6,4,4,0,3,0,3,2,55,0
src,featureamp.AacSong,class,3,22,1,0,16,64,13,13,0,2,0,0,2,108,0
src,featureamp.WavSong,class,5,22,1,0,21,64,13,13,0,2,0,0,2,125,0
src,featureamp.playlist.PlaylistDataModel,class,1,21,2,0,18,0,12,12,0,2,0,0,0,96,0
src,featureamp.players.MP3Player,class,1,18,2,0,16,21,7,7,0,0,0,0,3,97,0
src,featureamp.Mp3Song,class,8,51,1,0,27,34,13,13,0,5,0,0,4,139,0
src,featureamp.dialog.SaveDialog,class,1,7,3,0,7,3,2,2,0,0,0,0,0,31,0
src,featureamp.Song,interface,1,11,1,0,0,55,11,11,0,0,0,0,0,15,0
src,featureamp.util.Util,class,0,12,1,0,1,0,1,1,1,0,0,0,2,28,0
src,featureamp.FeatureAmp,class,20,470,6,0,251,6511,117,17,1,57,0,5,12,1537,20
