file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc,
src,featureAmp.engine.MP3Player,class,0,27,2,0,24,0,11,11,0,9,4,4,3,147,
src,featureAmp.Type,enum,0,0,1,0,0,0,0,0,0,0,0,0,0,4,
src,featureAmp.view.PlayMode,enum,0,4,1,0,0,0,2,1,0,1,0,0,0,16,
src,featureAmp.WAVMusicFile,class,4,10,2,0,17,0,8,8,0,1,0,0,1,58,
src,featureAmp.MusicFileWrapper,class,2,13,1,1,0,51,11,11,0,3,0,0,0,29,
src,experiment.BaselineAdapter,class,6,57,1,0,11,4,4,2,0,1,0,0,3,201,
src,featureAmp.Resources,class,0,2,1,0,2,0,0,0,0,1,1,1,1,16,
src,featureAmp.MusicFileFactory,class,3,11,1,0,5,3,3,1,3,0,0,0,4,26,
src,featureAmp.MP3MusicFile,class,4,31,2,0,20,0,8,8,0,1,0,0,1,85,
src,featureAmp.view.PlaylistCellRenderer,class,1,5,6,0,3,0,1,1,0,0,0,0,0,22,
src,featureAmp.Util,class,0,1,1,0,1,0,1,1,1,0,0,0,0,9,
src,experiment.MainBaseline,class,1,2,1,0,4,1,2,1,2,0,0,0,3,25,
src,specifications.Configuration,class,4,62,1,0,32,352,33,33,33,31,31,31,56,232,
src,featureAmp.Extensions,class,0,8,1,0,3,1,3,0,3,1,1,1,4,24,
src,testset.AppGUITest,class,7,60,1,0,39,0,21,20,0,2,0,0,0,993,
src,featureAmp.Main,class,1,1,1,0,0,0,1,1,1,0,0,0,0,81,
src,featureAmp.FileNameFilter,class,0,4,1,0,2,1,2,1,0,0,0,0,0,14,
src,experiment.MainIncLingFeatureAMP1,class,8,92,1,0,17,3,3,3,1,0,0,0,4,168,
src,featureAmp.view.PlaylistHandler,class,4,56,1,0,29,13,15,10,0,9,0,0,1,158,3
src,featureAmp.view.App,class,7,159,1,0,124,848,48,20,0,43,0,0,25,677,21
src,featureAmp.view.VolumeSlider,class,0,7,5,0,12,0,4,3,0,2,0,1,2,41,
