file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
src,main.ObserverUtil,class,0,1,2,0,2,0,1,1,0,0,0,0,0,9
src,engine.Huffman,class,0,0,1,0,0,0,0,0,0,1,0,0,0,4
src,main.ShowCoverNewInfoObserv,class,1,4,1,0,3,0,2,2,0,1,0,0,1,15
src,main.LoadPlaylistListener,class,1,19,1,0,22,1,2,2,0,0,0,0,6,67
src,main.VolumeControl,class,3,55,5,0,45,23,10,6,1,6,0,2,13,177
src,engine.BitReserve,class,1,17,1,0,0,0,5,5,0,8,1,2,0,85
src,main.Utils,class,0,6,1,0,1,1,2,1,1,0,0,0,3,23
src,specifications.Configuration,class,0,0,1,0,0,0,0,0,0,29,29,29,0,36
src,main.PlaylistNewInfoObserv,class,1,3,1,0,12,0,1,1,0,0,0,0,10,12
src,main.ProgressBarObserv,class,1,4,1,0,5,0,2,2,0,1,0,0,2,18
src,engine.MP3Player,class,7,46,2,0,30,0,11,11,0,12,4,5,6,186
src,main.ShowTimeObserv,class,0,1,1,0,7,0,1,1,0,1,0,1,6,12
src,main.SavePlaylistListener,class,1,11,1,0,16,1,2,2,0,0,0,0,1,48
src,main.OwnUI,class,0,3,4,0,6,3,3,0,0,1,0,0,3,30
src,engine.HuffmanTables,class,4,51,1,0,12,4,4,2,1,12,1,6,1,225
src,engine.SynthesisFilter,class,3,85,1,0,19,0,7,3,1,45,0,39,34,743
src,main.PlaylistButtons,class,3,62,5,0,51,388,18,9,1,6,0,2,67,301
src,engine.PlayerInterface,interface,0,7,1,0,0,21,7,7,0,4,4,4,0,64
src,main.Playlist,class,3,48,1,0,49,14,15,13,1,6,1,1,13,171
src,main.PlaylistEndTrackObserv,class,0,1,1,0,2,0,1,1,0,0,0,0,1,9
src,main.QueueSongCellRenderer,class,1,4,5,0,7,1,2,2,0,1,0,1,2,20
src,main.ProgressBar,class,1,6,5,0,15,0,4,3,0,4,0,1,4,41
src,main.FeatureAmp,class,15,63,1,0,53,764,39,31,39,18,2,18,48,312
src,engine.WAVPlayer,class,4,44,2,0,23,0,9,9,0,11,5,5,4,168
src,main.OpenDirectory,class,1,8,1,0,7,6,3,2,1,1,0,1,2,27
src,engine.MixerControl,class,0,91,1,0,40,153,18,16,18,0,0,0,38,208
src,engine.OutputChannels,interface,0,0,1,0,0,0,0,0,0,4,4,4,0,31
src,main.OpenFile,class,9,113,1,0,63,294,23,15,1,15,0,2,25,481
src,engine.LayerIIIDecoder,class,13,279,1,0,24,0,14,5,0,68,4,25,4,1749
src,engine.UpdateTime,class,1,13,2,0,8,0,5,5,0,3,0,0,3,72
src,main.QueueTrack,class,3,15,1,0,32,1,5,4,1,4,0,1,8,94
src,main.Song,class,0,10,1,0,1,0,6,6,0,8,0,0,2,43
src,engine.Header,class,2,67,1,0,8,75,18,16,0,20,14,12,0,295
src,engine.Decoder,class,5,13,1,0,7,5,6,6,0,6,0,0,1,99
src,engine.PushBackStream,class,1,19,1,0,2,0,4,4,0,3,0,0,0,80
src,main.Buttons,class,1,21,5,0,18,52,11,8,1,6,1,2,9,115
src,main.VolumeChange,class,0,6,1,0,3,0,2,2,0,3,0,0,3,26
src,main.CoverPane,class,0,16,5,0,21,6,3,3,0,5,0,1,2,76
src,main.PlaylistNewSongObserv,class,0,1,1,0,5,0,1,1,0,0,0,0,3,9
src,main.SongCellRenderer,class,1,10,5,0,13,1,2,2,0,1,0,1,5,47
src,main.MuteChange,class,0,7,1,0,7,0,3,2,0,2,0,0,4,49
src,main.ShowTitleObserv,class,0,3,1,0,6,0,1,1,0,0,0,0,6,14
src,engine.SampleBuffer,class,2,13,1,0,0,8,9,9,0,6,2,2,0,62
src,engine.BitStream,class,5,46,1,0,6,4,12,8,0,21,1,4,0,199
