file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
src,de.susebox.java.lang.Environment,interface,0,6,1,0,0,15,6,6,0,0,0,0,0,157
src,de.susebox.jtopas.PatternIterator,class,18,206,2,0,55,1161,50,41,0,29,3,3,5,1220
src,de.susebox.jtopas.ReaderSource,class,2,24,1,0,5,45,10,9,0,2,0,0,0,205
src,tests.TestPatternMatching,class,7,21,2,0,21,21,7,5,0,0,0,0,4,287
src,tests.de.susebox.jtopas.TestTokenizerCleanup,class,8,8,1,0,16,3,3,3,0,2,0,0,10,202
src,tests.JTopasTest,class,2,3,1,7,1,3,3,2,0,0,0,0,0,24
src,tests.de.susebox.jtopas.TestTokenizerSource,class,12,31,1,0,35,55,11,6,0,4,0,4,10,472
src,de.susebox.java.lang.ExtNoSuchMethodException,class,1,13,5,0,3,55,11,11,0,3,0,0,1,218
src,tests.de.susebox.jtopas.TestTextAccess,class,7,16,1,0,26,6,4,4,0,2,0,0,0,236
src,de.susebox.jtopas.spi.PatternHandler,interface,3,5,1,0,0,10,5,5,0,0,0,0,0,123
src,tests.de.susebox.jtopas.TestTokenizerProperties,class,16,61,1,0,55,91,14,13,0,10,0,4,4,712
src,tests.TestDifficultSituations,class,12,41,2,0,32,0,18,15,1,29,0,28,0,899
src,tests.de.susebox.java.lang.TestThrowableList,class,4,5,1,0,13,10,5,3,0,0,0,0,1,189
src,de.susebox.java.lang.ExtNullPointerException,class,1,13,5,0,3,55,11,11,0,3,0,0,1,217
src,de.susebox.jtopas.TokenizerProperties,interface,2,72,1,0,0,2556,72,72,0,11,11,11,0,1568
src,de.susebox.java.lang.ExtRuntimeException,class,1,13,4,0,3,55,11,11,0,3,0,0,1,219
src,specifications.SpecificationException,class,0,2,4,0,0,0,2,2,0,1,0,0,0,11
src,de.susebox.jtopas.Token,class,1,71,1,0,28,404,29,29,1,21,11,11,1,677
src,tests.de.susebox.jtopas.CustomTestLargeSource,class,11,37,1,0,37,89,14,5,5,27,9,24,23,1013
src,tests.de.susebox.jtopas.spi.StandardSeparatorHandlerTest,class,5,4,1,0,6,0,4,4,0,2,0,0,0,41
src,tests.TestTokenizerSource,class,5,7,2,0,8,6,4,0,0,4,0,4,1,322
src,de.susebox.jtopas.TokenizerPropertyEvent,class,2,24,1,0,12,55,11,11,0,6,3,3,0,224
src,tests.VarexJConstants,class,0,0,1,0,1,0,0,0,0,1,1,1,0,8
src,de.susebox.java.lang.ExtIllegalArgumentException,class,1,13,5,0,3,55,11,11,0,3,0,0,1,218
src,tests.de.susebox.jtopas.TestMultithreadTokenizerProperties,class,11,31,1,0,26,53,11,11,0,13,0,3,11,428
src,de.susebox.jtopas.spi.KeywordHandler,interface,2,2,1,0,0,1,2,2,0,0,0,0,0,72
src,de.susebox.jtopas.spi.StandardWhitespaceHandler,class,3,26,1,0,11,10,5,4,0,1,0,0,1,173
src,de.susebox.jtopas.Tokenizer,interface,8,32,1,0,0,496,32,32,0,0,0,0,0,745
src,de.susebox.jtopas.impl.NoCaseSequenceStore,class,1,5,2,0,1,3,3,1,0,0,0,0,3,84
src,tests.de.susebox.java.JavaTestSuite,class,0,0,1,0,0,0,0,0,0,0,0,0,0,105
src,de.susebox.jtopas.spi.WhitespaceHandler,interface,1,3,1,0,0,3,3,3,0,0,0,0,0,90
src,de.susebox.jtopas.spi.DataMapper,interface,6,2,1,0,0,1,2,2,0,0,0,0,0,94
src,tests.de.susebox.jtopas.TestTokenizerFlags,class,9,20,1,0,32,10,5,4,0,0,0,0,2,388
src,tests.TestTextAccess,class,7,19,2,0,27,0,5,4,0,2,0,0,0,142
src,de.susebox.jtopas.AbstractTokenizer,class,23,334,1,1,119,2278,68,39,2,26,0,5,11,1816
src,tests.de.susebox.TestUtilities,class,0,0,1,0,0,0,0,0,0,0,0,0,0,90
src,tests.de.susebox.TestExceptions,class,2,29,1,0,14,0,29,27,0,2,1,1,4,310
src,de.susebox.jtopas.TokenizerPropertyListener,interface,1,1,1,0,0,0,1,1,0,0,0,0,0,76
src,de.susebox.jtopas.StandardTokenizer,class,12,48,4,0,22,280,25,18,0,12,0,2,3,447
src,de.susebox.jtopas.spi.SeparatorHandler,interface,0,1,1,0,0,0,1,1,0,0,0,0,0,61
src,de.susebox.jtopas.impl.PatternMatcher,class,7,29,1,0,16,103,15,13,0,9,0,0,1,289
src,de.susebox.jtopas.TokenizerException,class,1,13,3,0,3,55,11,11,0,3,0,0,1,225
src,de.susebox.java.util.ExtNoSuchElementException,class,1,13,5,0,3,55,11,11,0,3,0,0,1,222
src,de.susebox.jtopas.TokenizerProperty,class,1,53,1,0,17,190,20,20,0,6,1,1,2,427
src,de.susebox.jtopas.impl.SequenceStore,class,7,95,1,0,30,411,30,18,0,13,3,1,0,598
src,de.susebox.java.lang.EnvironmentProvider,class,4,37,1,0,10,15,6,6,3,5,3,3,1,214
src,de.susebox.jtopas.spi.StandardKeywordHandler,class,4,7,1,0,4,3,3,3,0,1,0,0,0,108
src,de.susebox.java.lang.ThrowableList,interface,0,5,1,0,0,10,5,5,0,0,0,0,0,293
