file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
src,Prop4J.NodeWriter,class,10,52,1,0,9,21,7,3,7,3,3,3,11,148
src,Prop4J.AtMost,class,3,10,2,0,7,0,4,3,0,1,1,0,1,36
src,Prop4J.Equals,class,5,7,2,0,5,3,3,2,0,0,0,0,0,27
src,Prop4J.AtLeast,class,3,10,2,0,7,0,4,3,0,1,1,0,1,36
src,Prop4J.Node,class,11,66,1,2,20,154,21,14,5,1,0,0,10,200
src,specifications.Configuration,class,0,0,1,0,0,0,0,0,0,17,17,17,0,132
src,Prop4J.Choose,class,5,10,2,0,6,0,4,3,0,1,1,0,3,35
src,specifications.SpecificationException,class,0,2,4,0,0,0,2,2,0,1,0,0,0,11
src,Prop4J.Not,class,7,19,2,0,8,3,3,2,0,0,0,0,3,59
src,Prop4J.SatSolver,class,13,77,1,0,37,0,14,10,0,4,0,0,4,280
src,Prop4J.Implies,class,4,10,2,0,7,6,4,3,0,0,0,0,0,34
src,Prop4J.Literal,class,2,14,2,0,1,8,8,6,0,2,2,0,0,51
src,Prop4J.Or,class,3,44,2,0,23,55,11,4,0,0,0,0,2,148
src,Prop4J.And,class,2,17,2,0,11,15,6,4,0,0,0,0,1,53
src,Prop4J.NodeReader,class,7,71,1,0,28,59,15,10,4,9,3,4,11,346
