file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
src,net.sf.zipme.CRC32,class,3,23,1,0,2,0,6,5,1,2,1,1,1,103
src,net.sf.zipme.GZIPOutputStream,class,5,28,3,0,12,26,8,7,0,1,1,0,1,99
src,net.sf.zipme.CheckedOutputStream,class,2,21,2,0,8,1,7,7,0,2,0,0,0,95
src,net.sf.zipme.DeflaterPending,class,1,3,2,0,0,0,1,1,0,0,0,0,0,16
src,tests.FirstSuit,class,4,4,2,0,8,1,2,2,0,0,0,0,0,182
src,tests.Example_Paulo,class,11,32,2,0,13,24,12,12,0,1,0,1,0,193
src,tests.LitleFeatures,class,11,13,2,0,13,6,4,4,0,0,0,0,0,148
src,net.sf.zipme.DeflaterConstants,interface,0,0,1,0,1,0,0,0,0,27,0,0,1,31
src,net.sf.zipme.GZIPInputStream,class,4,90,3,0,16,60,12,8,0,9,2,6,1,258
src,net.sf.zipme.ZipEntry,class,3,108,1,0,12,136,25,21,1,19,3,8,3,381
src,net.sf.zipme.ZipArchive,class,7,74,1,0,32,17,11,8,0,5,0,1,1,280
src,tests.GZIPtest,class,6,5,2,0,5,1,2,2,0,0,0,0,0,36
src,net.sf.zipme.Deflater,class,4,95,1,0,19,112,24,22,0,26,22,20,0,425
src,net.sf.zipme.Checksum,interface,1,4,1,0,0,6,4,0,0,0,0,0,0,35
src,net.sf.zipme.ZipInputStream,class,7,179,3,0,41,173,26,16,0,9,3,0,5,385
src,net.sf.zipme.PendingBuffer,class,1,68,1,0,3,0,14,14,0,5,0,0,5,163
src,net.sf.zipme.Deflater_deflate2,class,2,42,1,0,10,0,4,4,0,11,4,0,0,98
src,net.sf.zipme.GZIPOutputStream_hook22,class,2,8,1,0,1,1,2,2,0,3,3,0,0,24
src,net.sf.zipme.Adler32,class,2,22,1,0,2,3,6,6,0,2,1,1,0,133
src,net.sf.zipme.ZipException,class,0,6,4,0,0,1,2,2,0,1,0,1,0,35
src,net.sf.zipme.DeflaterEngine,class,6,208,1,0,26,65,23,13,0,23,9,1,6,550
src,specifications.SpecificationException,class,0,2,4,0,0,0,2,2,0,1,0,0,0,11
src,net.sf.zipme.ZipArchive_PartialInputStream,class,1,56,3,0,6,49,11,4,0,1,0,0,0,109
src,net.sf.zipme.StreamManipulator,class,1,56,1,0,3,0,11,11,0,5,0,0,1,155
src,net.sf.zipme.ZipConstants,interface,0,0,1,0,0,0,0,0,0,40,0,0,0,44
src,net.sf.zipme.DeflaterHuffman,class,5,218,1,0,27,0,23,10,1,26,0,14,10,590
src,net.sf.zipme.OutputWindow,class,2,51,1,0,5,0,9,8,0,5,0,2,6,122
src,specifications.Configuration,class,0,0,1,0,0,0,0,0,0,13,13,13,0,127
src,net.sf.zipme.Inflater,class,7,184,1,0,37,128,28,20,0,31,1,17,2,676
src,net.sf.zipme.ZipOutputStream,class,8,132,3,0,42,63,15,11,1,13,5,5,4,410
src,net.sf.zipme.ZipArchive_InflaterInputStream,class,2,10,3,0,2,0,2,2,0,1,0,0,0,26
src,net.sf.zipme.CheckedInputStream,class,2,42,2,0,11,0,11,11,0,2,0,0,2,151
src,net.sf.zipme.DeflaterOutputStream,class,2,42,2,2,12,0,10,10,0,3,1,0,0,181
src,net.sf.zipme.InflaterHuffmanTree,class,6,45,1,0,5,1,3,0,0,3,0,2,2,147
src,net.sf.zipme.InflaterInputStream,class,3,77,2,2,11,30,13,12,0,5,1,0,2,230
src,net.sf.zipme.DataFormatException,class,0,6,3,0,0,1,2,2,0,1,0,1,0,30
src,tests.Example_Paulo2,class,12,34,2,0,25,10,12,12,0,1,0,1,0,248
src,net.sf.zipme.InflaterDynHeader,class,5,44,1,0,4,0,4,4,0,17,0,9,2,126
