file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
src,checks.coding.StringLiteralEqualityCheck,class,4,6,4,0,7,4,4,4,0,1,1,1,0,74
src,com.puppycrawl.tools.checkstyle.checks.coding.illegaltype.InputIllegalTypeAbstractClassNames,class,2,7,2,0,1,19,7,2,0,2,0,0,0,26
src,api.LocalizedMessages,class,1,4,1,0,2,0,4,4,0,1,0,0,0,56
src,checks.design.ThrowsCountCheck,class,3,12,4,0,10,26,9,8,0,3,1,2,0,124
src,com.puppycrawl.tools.checkstyle.checks.sizes.methodlength.SafeVarargsUsage,class,4,16,1,0,0,120,16,4,1,9,2,2,0,107
src,com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationInvalidForIndent,class,1,17,1,0,1,3,3,2,0,0,0,0,5,83
src,com.puppycrawl.tools.checkstyle.checks.naming.abbreviationaswordinname.InputAbbreviationAsWordInNameAbstractMultisetSetCount,class,1,1,1,0,0,0,1,1,0,1,0,1,0,13
src,testset.coding.OverloadMethodsDeclarationOrderCheckTest,class,4,3,3,0,8,3,3,2,0,0,0,0,1,53
src,testset.api.AbstractViolationReporterTest,class,9,10,2,0,19,24,9,7,2,1,0,0,3,120
src,checks.indentation.NewHandler,class,4,12,2,0,13,6,4,2,0,0,0,0,0,91
src,com.puppycrawl.tools.checkstyle.checks.imports.unusedimports.InputUnusedImportsCheckClearState,class,0,0,1,0,0,0,0,0,0,0,0,0,0,5
src,testset.coding.PackageDeclarationCheckTest,class,4,5,3,0,9,10,5,4,0,0,0,0,3,132
src,com.puppycrawl.tools.checkstyle.checks.javadoc.javadocmethod.InputJavadocMethodScopeInnerInterfaces,class,0,8,1,0,0,22,8,4,0,8,4,0,0,59
src,com.puppycrawl.tools.checkstyle.checks.imports.customimportorder.InputCustomImportOrderNoValid,class,0,0,1,0,0,0,0,0,0,0,0,0,0,6
src,com.puppycrawl.tools.checkstyle.checks.javadoc.abstractjavadoc.InputAbstractJavadocWrongSingletonTagInJavadoc,class,0,0,1,0,0,0,0,0,0,5,0,0,0,23
src,testset.blocks.AvoidNestedBlocksCheckTest,class,5,5,3,0,11,10,5,4,0,0,0,0,2,76
src,com.puppycrawl.tools.checkstyle.checks.javadoc.javadoctype.InputJavadocTypeEnum2,enum,0,0,1,0,0,0,0,0,0,0,0,0,0,101
src,checkstyle.PropertyCacheFile,class,3,22,1,0,22,7,7,0,1,6,0,4,11,208
src,testset.naming.AbbreviationAsWordInNameCheckTest,class,4,15,3,0,6,105,15,13,0,0,0,0,13,296
src,api.AuditListener,interface,1,6,1,0,0,15,6,0,0,0,0,0,0,67
src,checks.naming.ClassTypeParameterNameCheck,class,1,3,7,0,0,3,3,2,0,0,0,0,0,68
src,checks.naming.AbstractClassNameCheck,class,3,17,5,0,13,51,11,8,0,3,2,3,0,147
src,com.puppycrawl.tools.checkstyle.checks.coding.hiddenfield.HiddenEnum1,enum,0,20,1,0,0,83,15,11,1,6,1,2,0,112
src,com.puppycrawl.tools.checkstyle.checks.coding.returncount.Test,class,0,31,1,0,0,15,5,3,0,0,0,0,0,61
src,com.puppycrawl.tools.checkstyle.checks.finalparameters.Foo,class,1,34,1,0,3,325,22,2,0,0,0,0,0,146
src,com.puppycrawl.tools.checkstyle.checks.imports.importorder.InputImportOrderStaticGroupOrderBottom_Negative,class,0,0,1,0,0,0,0,0,0,0,0,0,0,8
src,com.puppycrawl.tools.checkstyle.checks.naming.lambdaparametername.InputLambdaParameterName,class,0,0,1,0,3,0,0,0,0,7,0,0,0,15
src,checks.javadoc.JavadocUtils,class,10,72,1,0,45,78,13,12,12,2,0,2,14,357
src,testset.blocks.NeedBracesCheckTest,class,4,11,3,0,5,55,11,10,0,0,0,0,10,181
src,com.puppycrawl.tools.checkstyle.checks.imports.customimportorder.InputCustomImportOrderPossibleIndexOutOfBoundsException,class,0,0,1,0,0,0,0,0,0,0,0,0,0,4
src,checkstyle.DefaultContext,class,1,4,1,0,4,0,3,3,0,1,0,0,0,57
src,com.puppycrawl.tools.checkstyle.checks.javadoc.javadocmethod.PackageClass,class,0,37,1,0,0,610,37,9,0,38,9,1,0,100
src,com.puppycrawl.tools.checkstyle.checks.modifier.modifierorder.IInterfacable,interface,6,19,2,0,2,136,17,11,0,8,0,0,0,94
src,com.puppycrawl.tools.checkstyle.checks.sizes.outertypenumber.MyEnum1,enum,1,12,1,0,0,36,9,1,0,15,4,8,0,200
src,checks.design.VisibilityModifierCheck,class,6,74,4,0,50,348,29,13,11,10,1,3,20,613
src,com.puppycrawl.tools.checkstyle.checks.imports.importcontrol.InputImportControlFileName,interface,0,0,1,0,0,0,0,0,0,0,0,0,0,4
src,checks.whitespace.AbstractParenPadCheck,class,3,15,5,2,9,3,3,0,0,4,4,4,5,107
src,checks.indentation.DoWhileHandler,class,4,3,3,0,7,3,3,2,0,0,0,0,0,57
src,testset.checks.UncommentedMainCheckTest,class,6,10,3,0,16,36,9,8,0,0,0,0,6,117
src,com.puppycrawl.tools.checkstyle.checks.javadoc.javadocmethod.InputJavadocMethodScopeAnonInner,class,0,5,1,0,2,8,3,2,0,2,0,0,3,54
src,com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationSeparatedStatements,class,0,0,1,0,0,0,0,0,0,0,0,0,0,8
src,com.puppycrawl.tools.checkstyle.checks.whitespace.emptylineseparator.InputEmptyLineSeparatorMultipleFieldsInClass,class,0,0,1,0,0,0,0,0,0,2,0,0,0,6
src,com.puppycrawl.tools.checkstyle.checks.whitespace.whitespaceafter.InputWhitespaceAfterLiteralWhile,class,0,17,1,0,5,10,5,0,0,0,0,0,0,56
src,com.puppycrawl.tools.checkstyle.checks.metrics.javancss.Input0,class,0,13,1,0,1,15,5,1,0,3,0,0,2,61
src,api.BeforeExecutionFileFilterSet,class,1,9,1,0,6,0,6,6,0,1,0,0,1,72
src,checks.javadoc.JavadocNodeImpl,class,1,15,1,0,4,91,15,15,0,7,0,0,1,127
src,com.puppycrawl.tools.checkstyle.checks.coding.variabledeclarationusagedistance.InputVariableDeclarationUsageDistanceLabels,class,0,5,1,0,1,1,2,2,0,0,0,0,0,19
src,com.puppycrawl.tools.checkstyle.checks.imports.importorder.InputImportOrder_HonorsTokensProperty,class,0,0,1,0,0,0,0,0,0,0,0,0,0,7
src,com.puppycrawl.tools.checkstyle.checks.coding.illegaltype.InputIllegalTypePlainAndArrays,class,0,5,1,0,0,3,3,3,0,3,3,0,0,18
src,testset.filters.SuppressionFilterTest,class,6,11,3,0,10,6,4,0,3,1,1,0,2,267
src,testset.naming.MemberNameCheckTest,class,4,2,3,0,2,1,2,1,0,0,0,0,0,238
src,testset.design.InterfaceIsTypeCheckTest,class,4,3,3,0,2,3,3,2,0,0,0,0,0,70
src,testset.filters.IntRangeFilterTest,class,0,0,1,0,0,0,0,0,0,0,0,0,0,61
src,com.puppycrawl.tools.checkstyle.checks.coding.returncount.InputReturnCountVoid,class,0,18,1,0,0,15,6,5,0,0,0,0,0,38
src,com.puppycrawl.tools.checkstyle.checks.metrics.classfanoutcomplexity.inputs.a.aa.AAClass,class,0,0,1,0,0,0,0,0,0,0,0,0,0,3
src,com.puppycrawl.tools.checkstyle.checks.whitespace.methodparampad.InputMethodParamPadWhitespaceAround,class,1,4,1,0,2,3,3,1,0,0,0,0,1,27
src,api.Utils,class,3,36,1,0,24,78,13,12,12,2,0,2,8,269
src,com.puppycrawl.tools.checkstyle.checks.coding.illegaltype.InputIllegalTypeArrays,class,0,4,1,0,0,1,2,2,0,2,2,0,0,14
src,checks.naming.MethodTypeParameterNameCheck,class,1,3,7,0,0,3,3,2,0,0,0,0,0,68
src,checks.regexp.DetectorOptions,class,3,16,1,0,1,81,15,15,0,8,0,0,1,185
src,checks.whitespace.WrapOption,enum,0,0,1,0,0,0,0,0,0,0,0,0,0,32
src,com.puppycrawl.tools.checkstyle.checks.whitespace.whitespaceafter.InputWhitespaceAfterDoWhile,class,0,4,1,0,2,1,2,0,0,0,0,0,0,16
src,com.puppycrawl.tools.checkstyle.checks.naming.constantname.Direction,enum,2,3,1,0,0,1,3,1,1,34,8,0,0,67
src,com.puppycrawl.tools.checkstyle.checks.javadoc.javadocmethod.InputJavadocMethodLoadErrors,class,0,1,1,0,0,0,1,0,0,0,0,0,0,9
src,testset.api.ScopeTest,class,2,8,1,0,6,28,8,8,0,0,0,0,0,140
src,com.puppycrawl.tools.checkstyle.grammar.java8.Bar,class,7,7,1,0,0,21,7,3,1,0,0,0,0,40
src,com.puppycrawl.tools.checkstyle.grammar.java8.InputAnnotations11,class,1,0,1,0,0,0,0,0,0,0,0,0,0,3
src,checks.annotation.SuppressWarningsCheck,class,3,32,5,0,24,62,12,5,0,3,1,3,2,308
src,checks.coding.MultipleVariableDeclarationsCheck,class,3,21,4,0,9,15,6,5,1,2,2,2,4,136
src,testset.api.SeverityLevelCounterTest,class,3,3,1,0,4,3,3,3,0,0,0,0,0,66
src,com.puppycrawl.tools.checkstyle.checks.coding.illegalcatch.InputIllegalCatch2,class,0,6,5,0,1,1,2,1,0,0,0,0,0,23
src,com.puppycrawl.tools.checkstyle.checks.imports.unusedimports.InputUnusedImportsJavadocQualifiedName,class,0,0,1,0,0,0,0,0,0,0,0,0,0,7
src,com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationValidTryIndent,class,0,15,1,0,1,1,2,2,0,0,0,0,17,97
src,com.puppycrawl.tools.checkstyle.checks.sizes.methodcount.InputMethodCount5,class,0,2,1,0,0,1,2,0,0,0,0,0,0,8
src,com.puppycrawl.tools.checkstyle.grammar.java8.InputAnnotations3,class,1,1,1,0,0,0,1,1,1,0,0,0,0,11
src,com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationValidArrayInitIndent,class,2,5,1,0,2,1,2,1,0,15,0,1,0,93
src,com.puppycrawl.tools.checkstyle.checks.javadoc.javadocmethod.SomeInterface,interface,3,5,1,0,0,10,5,4,0,0,0,0,0,31
src,com.puppycrawl.tools.checkstyle.checks.javadoc.javadocmethod.Some,class,2,12,2,0,1,66,12,0,0,0,0,0,0,82
src,com.puppycrawl.tools.checkstyle.checks.blocks.leftcurly.InputLeftCurlyMethodEnum,enum,0,22,1,0,0,231,22,0,0,0,0,0,0,80
src,utils.ModuleReflectionUtil,class,9,16,1,0,33,78,13,10,12,0,0,0,12,178
src,com.puppycrawl.tools.checkstyle.checks.modifier.redundantmodifier.InputRedundantModifierStaticMethodInInterface,interface,0,1,1,0,0,0,1,0,1,0,0,0,0,9
src,com.puppycrawl.tools.checkstyle.checks.coding.modifiedcontrolvariable.NestedClass,class,1,26,1,0,2,4,3,1,0,3,0,0,2,94
src,com.puppycrawl.tools.checkstyle.checks.naming.methodname.Outer,class,1,8,1,0,0,28,7,5,0,0,0,0,0,44
src,com.puppycrawl.tools.checkstyle.checks.coding.multiplevariabledeclarations.InputMultipleVariableDeclarations,class,0,6,1,0,0,3,3,0,0,7,0,0,0,31
src,com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationInvalidAnonymousClassIndent,class,0,4,1,0,2,1,1,1,0,0,0,0,1,27
