file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc,
src,model.MessageListener,class,2,8,1,0,10,0,2,1,0,2,0,0,1,40,
src,gui.Controller,class,4,29,1,0,11,16,9,9,0,5,0,0,0,87,
src,MVC.MVC,class,3,1,1,0,4,0,1,1,0,3,0,0,1,15,
src,piece.Knight,class,1,20,2,0,8,1,2,2,0,0,0,0,0,86,
src,piece.Queen,class,1,42,2,0,8,1,2,2,0,0,0,0,0,130,
src,piece.Bishop,class,1,22,2,0,7,1,2,2,0,0,0,0,0,84,
src,piece.Rook,class,1,24,2,0,7,1,2,2,0,0,0,0,0,77,
src,gui.MenuText,class,0,5,5,0,1,4,5,4,0,1,0,0,0,22,
src,model.Model,class,6,75,1,0,48,76,20,16,1,18,1,1,0,289,1
src,piece.Space,class,1,7,1,0,0,0,5,5,0,1,0,0,0,21,
src,jogador.Player,class,1,13,1,0,7,11,10,10,0,4,0,0,0,50,
src,gui.RoundState,enum,0,0,1,0,0,0,0,0,0,0,0,0,0,4,
src,Main,class,1,1,1,0,0,0,1,1,1,0,0,0,0,10,
src,piece.Piece,class,2,18,1,2,5,25,15,14,0,6,1,0,0,71,
src,piece.King,class,1,50,2,0,7,1,2,2,0,0,0,0,0,131,
src,piece.Pawn,class,1,24,2,0,9,1,2,2,0,0,0,0,0,69,1
src,specifications.Configuration,class,0,0,1,0,0,0,0,0,0,3,3,3,0,117,
src,jogador.AI_Player,class,3,26,1,0,8,42,13,12,0,6,0,0,0,88,0
src,specifications.SpecificationException,class,0,2,4,0,0,0,2,2,0,1,0,0,0,11,
src,gui.BoardPanel,class,0,6,5,0,3,3,6,5,0,3,0,1,0,30,
src,model.Board,class,13,196,1,0,47,124,40,27,0,14,0,0,0,596,63
src,gui.View,class,4,66,1,0,32,121,23,21,0,7,0,0,7,289,
src,piece.PieceType,enum,0,0,1,0,0,0,0,0,0,0,0,0,0,9,
