file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc,Failure
src,org.softlang.util.ChangeList,class,0,0,1,1,0,0,0,0,0,1,1,0,0,7,
src,org.softlang.features.SimpleCut,class,2,1,2,0,2,0,1,1,0,0,0,0,0,8,
src,org.softlang.util.Monoid,interface,1,2,1,0,0,1,2,0,0,0,0,0,0,8,
src,org.softlang.swing.controller.Controller,class,12,61,1,0,18,0,7,7,0,2,0,0,0,181,18
src,org.softlang.company.factory.BeanFactory,class,7,3,1,0,0,3,3,3,0,0,0,0,0,15,
src,org.softlang.company.Component,interface,3,4,1,0,0,6,4,0,0,0,0,0,0,13,
src,org.softlang.proxy.AccessControl,class,8,23,1,0,8,33,11,9,0,2,0,0,0,79,
src,org.softlang.gui.Interaction,class,4,1,1,0,1,0,1,1,1,0,0,0,0,30,
src,org.junit.internal.runners.statements.FailOnTimeout,class,2,17,3,0,13,18,9,6,0,6,0,0,1,69,
src,org.softlang.company.impl.bean.ComponentImpl,class,5,13,2,2,2,17,7,6,0,3,1,0,0,42,
src,org.softlang.template.Reducer,class,7,10,1,0,7,0,5,4,0,1,0,0,0,53,
src,org.softlang.util.SimpleLinkedList,class,2,3,1,0,3,0,3,3,0,1,0,0,0,19,
src,org.softlang.company.Company,interface,2,1,1,0,0,0,1,1,0,0,0,0,0,10,
src,org.softlang.util.MaxDoubles,class,2,10,1,0,1,6,4,3,1,1,0,1,1,19,
src,org.softlang.company.impl.pojo.ContainerImpl,class,3,3,2,1,2,0,3,3,0,1,0,0,0,17,
src,org.softlang.company.impl.bean.EmployeeImpl,class,5,76,3,0,6,65,14,14,0,5,0,0,0,142,
src,org.softlang.proxy.ProxyCompany,class,7,44,1,0,10,34,12,11,0,3,0,0,0,100,
src,org.softlang.visitor.VoidVisitor,interface,3,3,1,0,0,3,3,0,0,0,0,0,0,9,
src,org.softlang.company.impl.pojo.EmployeeImpl,class,5,37,2,0,3,26,9,9,0,3,0,0,0,77,
src,org.softlang.util.ObservableSimpleList,class,4,20,2,0,8,9,7,7,0,1,0,0,0,63,
src,org.softlang.swing.view.DepartmentView,class,3,22,6,0,8,1,2,1,0,1,0,1,0,98,
src,org.softlang.company.factory.Factory,interface,3,3,1,0,0,3,3,0,0,0,0,0,0,12,
src,org.softlang.company.impl.pojo.ComponentImpl,class,4,4,1,2,0,4,4,4,0,1,0,0,0,15,
src,org.softlang.proxy.ProxyEmployee,class,5,44,1,0,14,0,12,11,0,2,0,0,0,98,
src,org.softlang.swing.controller.ChangeListener,class,1,11,1,0,7,8,5,4,0,2,0,0,0,39,
src,org.softlang.util.AddDoubles,class,2,6,1,0,0,6,4,3,1,1,0,1,0,15,
src,org.softlang.company.impl.pojo.CompanyImpl,class,7,46,3,0,5,8,8,8,0,1,0,0,0,89,
src,org.softlang.features.TotalWalker,class,2,2,2,0,1,0,2,2,0,1,0,0,0,17,
src,org.softlang.template.Walker,class,5,15,1,0,5,55,5,5,0,0,0,0,0,67,
src,org.softlang.command.Command,class,0,6,1,1,0,0,2,2,0,1,0,0,0,14,
src,org.softlang.features.Precedence,class,5,25,1,0,13,1,2,1,0,0,0,0,0,67,
src,org.softlang.swing.model.Model,class,17,33,1,0,17,0,11,10,1,3,1,0,5,175,
src,org.softlang.company.Container,interface,2,3,1,0,0,3,3,0,0,0,0,0,0,10,
