file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
src,desktopsearcher.History_Indexer,class,1,34,1,0,16,1,3,3,0,1,0,0,0,71
src,desktopsearcher.OptionWindow,class,3,15,1,0,32,3,4,2,1,6,0,0,8,158
src,desktopsearcher.Commandline,class,7,52,1,0,23,19,7,6,0,3,0,0,0,173
src,desktopsearcher.Indexer,class,25,103,1,0,45,54,17,13,0,6,0,0,2,580
src,desktopsearcher.ButtonListener,class,2,58,1,0,30,0,5,5,0,3,0,0,1,169
src,desktopsearcher.SearchResultTree,class,1,51,1,0,32,9,6,6,0,2,0,0,5,172
src,desktopsearcher.HTML,class,8,21,2,0,19,21,5,5,2,5,0,5,8,176
src,desktopsearcher.NoDocument,class,1,5,5,0,5,0,1,1,0,1,0,1,0,50
src,desktopsearcher.MainFrame,class,12,79,6,0,70,23,10,10,1,21,16,1,8,510
src,desktopsearcher.IndexerException,class,0,1,3,0,0,0,1,1,0,1,0,1,0,10
src,desktopsearcher.UI,interface,2,2,1,0,0,1,2,2,0,0,0,0,0,6
src,desktopsearcher.HitDocument,class,1,43,5,0,10,0,5,5,0,4,0,1,7,317
src,desktopsearcher.MrPinkMain,class,10,46,1,0,19,7,7,5,2,2,1,0,0,211
src,desktopsearcher.ContentHandler,class,5,6,1,3,10,10,5,4,2,0,0,0,0,67
src,desktopsearcher.HitComponentLabel,class,0,7,5,0,10,0,1,1,0,0,0,0,0,69
src,specifications.Configuration,class,0,0,1,0,0,0,0,0,0,16,16,16,0,147
src,desktopsearcher.Plain,class,5,15,2,0,13,6,4,4,1,0,0,0,2,96
src,desktopsearcher.History_Query,class,0,20,1,0,14,1,3,2,0,2,0,0,0,60
src,org.junit.internal.runners.statements.FailOnTimeout,class,2,17,3,0,13,18,9,6,0,6,0,0,1,69
src,desktopsearcher.OptionStorage,class,1,9,1,0,0,4,9,9,0,7,3,3,0,92
src,specifications.SpecificationException,class,0,2,4,0,0,0,2,2,0,1,0,0,0,11
src,desktopsearcher.Latex,class,6,27,2,0,21,13,6,6,1,12,0,11,12,201
src,desktopsearcher.Index_History_Selector,class,2,31,5,0,22,3,6,5,0,13,10,1,2,245
src,desktopsearcher.OS,class,0,10,1,0,0,1,2,2,2,0,0,0,0,22
