"configuration","trace","description"
"featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:falseprogressbar:truemute:trueshowtime:truecontrolplayist:trueshowcover:falseloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:true","	at org.junit.Assert.assertEquals(Assert.java:115)","muteTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:falselightskin:trueremovetrack:falsetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:false","	at org.junit.Assert.assertEquals(Assert.java:115)","playModeTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:falselightskin:trueremovetrack:falsetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:false","	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)","reorderplaylistTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:falselightskin:trueremovetrack:falsetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:false","	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)","playSkipTrackTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:falseshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:trueclearplaylist:true","	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)","removeTrackTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:falseshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:trueclearplaylist:true","	at org.junit.Assert.assertEquals(Assert.java:115)","playModeTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:falseshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:trueclearplaylist:true","	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)","clearplaylistTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:falseshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:trueclearplaylist:true","	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)","removePlayListTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:falseshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:trueclearplaylist:true","	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)","reorderplaylistTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:trueplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:falseshowtime:falsecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:truemp3:trueskins:trueclearplaylist:true","	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)","playSkipTrackTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:trueshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:false","	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)","removeTrackTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:trueshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:false","	at org.junit.Assert.assertEquals(Assert.java:115)","playModeTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:truevolumecontrol:truelightskin:trueremovetrack:truetime:truereorderplaylist:falseplaylist:truedarkskin:falsesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:trueshowtime:truecontrolplayist:trueshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:trueclearplaylist:false","	at org.fest.swing.exception.ActionFailedException.actionFailure(ActionFailedException.java:33)","playSkipTrackTest(testset.AppGUITest)"
"featureamp:truegui:trueplayer:trueskiptrack:falsevolumecontrol:truelightskin:trueremovetrack:falsetime:truereorderplaylist:falseplaylist:falsedarkskin:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:trueshowtime:truecontrolplayist:falseshowcover:falseloadfolder:falseshufflerepeat:falseogg:truemp3:trueskins:trueclearplaylist:false","	at org.junit.Assert.assertEquals(Assert.java:115)","muteTest(testset.AppGUITest)"
