configuration,test,class,description,,,
featureamp:truebase:truecodecs:truegui:trueskiptrack:falsemetadata:falseremovetrack:falsealbum:falsewav:falsenicetohave:falseplaylist:falsejumpposition:falselight:trueopenfolder:falsequeuetrack:falsemute:falsetageditor:falsetracknumber:falseprogress:trueaac:trueplaylistcontrols:falsemultipleplaylists:falserandomcolor:falsesaveandload:falseshufflerepeat:falseogg:falseyoutube:falsemp3:falseoscolors:falsereorder:falsecover:falsevolume:falseskins:truedark:falseclearplaylist:falseremeberstatus:falseprogressbar:falsetitlebar:true,playAACTest,Kernel.java,at featureamp.controler.Kernel.loadMetaData__wrappee__Base(Kernel.java:166),,Kernel.java,11
featureamp:truebase:truecodecs:truegui:trueskiptrack:falsemetadata:falseremovetrack:falsealbum:falsewav:truenicetohave:falseplaylist:falsejumpposition:falselight:trueopenfolder:falsequeuetrack:falsemute:falsetageditor:falsetracknumber:falseprogress:trueaac:falseplaylistcontrols:falsemultipleplaylists:falserandomcolor:falsesaveandload:falseshufflerepeat:falseogg:trueyoutube:falsemp3:trueoscolors:falsereorder:falsecover:falsevolume:trueskins:truedark:falseclearplaylist:falseremeberstatus:falseprogressbar:truetitlebar:false,"playWAVTest
playMP3Test
PlayOGGTest",Kernel.java,at featureamp.controler.Kernel.loadMetaData__wrappee__Base(Kernel.java:166),,Playlist.java,9
featureamp:truebase:truecodecs:truegui:trueskiptrack:falsemetadata:trueremovetrack:truealbum:truewav:truenicetohave:falseplaylist:truejumpposition:falselight:trueopenfolder:truequeuetrack:falsemute:falsetageditor:falsetracknumber:trueprogress:trueaac:trueplaylistcontrols:truemultipleplaylists:falserandomcolor:falsesaveandload:trueshufflerepeat:trueogg:trueyoutube:truemp3:trueoscolors:falsereorder:truecover:truevolume:falseskins:truedark:falseclearplaylist:trueremeberstatus:falseprogressbar:truetitlebar:false,"playWAVTest
playMP3Test
PlayOGGTest",Kernel.java,at featureamp.controler.Kernel.loadMetaData__wrappee__Base(Kernel.java:166),,,
featureamp:truebase:truecodecs:truegui:trueskiptrack:falsemetadata:trueremovetrack:truealbum:truewav:truenicetohave:falseplaylist:truejumpposition:falselight:trueopenfolder:truequeuetrack:falsemute:falsetageditor:falsetracknumber:trueprogress:trueaac:trueplaylistcontrols:truemultipleplaylists:falserandomcolor:falsesaveandload:trueshufflerepeat:trueogg:trueyoutube:truemp3:trueoscolors:falsereorder:truecover:truevolume:falseskins:truedark:falseclearplaylist:trueremeberstatus:falseprogressbar:truetitlebar:false,"playWAVTest
playMP3Test
PlayOGGTest",Playlist.java,at featureamp.playlist.Playlist.getValueAt__wrappee__Playlist(Playlist.java:149),,,
featureamp:truebase:truecodecs:truegui:trueskiptrack:falsemetadata:trueremovetrack:falsealbum:truewav:falsenicetohave:falseplaylist:truejumpposition:falselight:trueopenfolder:truequeuetrack:falsemute:truetageditor:falsetracknumber:trueprogress:trueaac:trueplaylistcontrols:truemultipleplaylists:falserandomcolor:falsesaveandload:falseshufflerepeat:falseogg:falseyoutube:falsemp3:falseoscolors:falsereorder:truecover:falsevolume:trueskins:truedark:falseclearplaylist:falseremeberstatus:falseprogressbar:truetitlebar:false,playAACTest,Kernel.java,at featureamp.controler.Kernel.loadMetaData__wrappee__Base(Kernel.java:166),,,
featureamp:truebase:truecodecs:truegui:trueskiptrack:falsemetadata:trueremovetrack:falsealbum:truewav:falsenicetohave:falseplaylist:truejumpposition:falselight:trueopenfolder:truequeuetrack:falsemute:truetageditor:falsetracknumber:trueprogress:trueaac:trueplaylistcontrols:truemultipleplaylists:falserandomcolor:falsesaveandload:falseshufflerepeat:falseogg:falseyoutube:falsemp3:falseoscolors:falsereorder:truecover:falsevolume:trueskins:truedark:falseclearplaylist:falseremeberstatus:falseprogressbar:truetitlebar:false,playAACTest,,at featureamp.playlist.Playlist.getValueAt__wrappee__Playlist(Playlist.java:149),,,
featureamp:truebase:truecodecs:truegui:trueskiptrack:truemetadata:trueremovetrack:falsealbum:truewav:falsenicetohave:trueplaylist:truejumpposition:truelight:trueopenfolder:truequeuetrack:truemute:falsetageditor:falsetracknumber:trueprogress:trueaac:trueplaylistcontrols:truemultipleplaylists:truerandomcolor:falsesaveandload:falseshufflerepeat:trueogg:trueyoutube:falsemp3:trueoscolors:falsereorder:truecover:falsevolume:trueskins:truedark:falseclearplaylist:falseremeberstatus:falseprogressbar:truetitlebar:false,"playMP3Test
PlayOGGTest",Kernel.java,at featureamp.controler.Kernel.loadMetaData__wrappee__Base(Kernel.java:166),,,
featureamp:truebase:truecodecs:truegui:trueskiptrack:truemetadata:trueremovetrack:falsealbum:truewav:falsenicetohave:trueplaylist:truejumpposition:truelight:trueopenfolder:truequeuetrack:truemute:falsetageditor:falsetracknumber:trueprogress:trueaac:trueplaylistcontrols:truemultipleplaylists:truerandomcolor:falsesaveandload:falseshufflerepeat:trueogg:trueyoutube:falsemp3:trueoscolors:falsereorder:truecover:falsevolume:trueskins:truedark:falseclearplaylist:falseremeberstatus:falseprogressbar:truetitlebar:false,"playMP3Test
PlayOGGTest",Playlist.java,at featureamp.playlist.Playlist.getValueAt(Playlist.java:162),,,
featureamp:truebase:truecodecs:truegui:trueskiptrack:truemetadata:trueremovetrack:falsealbum:truewav:truenicetohave:trueplaylist:truejumpposition:truelight:trueopenfolder:truequeuetrack:truemute:truetageditor:truetracknumber:trueprogress:trueaac:trueplaylistcontrols:truemultipleplaylists:truerandomcolor:falsesaveandload:falseshufflerepeat:trueogg:trueyoutube:falsemp3:falseoscolors:falsereorder:truecover:truevolume:trueskins:truedark:falseclearplaylist:falseremeberstatus:falseprogressbar:truetitlebar:false,"playWAVTest
PlayOGGTest",Kernel.java,at featureamp.controler.Kernel.loadMetaData__wrappee__Base(Kernel.java:166),,,
featureamp:truebase:truecodecs:truegui:trueskiptrack:truemetadata:trueremovetrack:falsealbum:truewav:truenicetohave:trueplaylist:truejumpposition:truelight:trueopenfolder:truequeuetrack:truemute:truetageditor:truetracknumber:trueprogress:trueaac:trueplaylistcontrols:truemultipleplaylists:truerandomcolor:falsesaveandload:falseshufflerepeat:trueogg:trueyoutube:falsemp3:falseoscolors:falsereorder:truecover:truevolume:trueskins:truedark:falseclearplaylist:falseremeberstatus:falseprogressbar:truetitlebar:false,"playWAVTest
PlayOGGTest",Playlist.java,at featureamp.playlist.Playlist.getValueAt(Playlist.java:162),,,
