configuration,trace,description,,,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:trueskiptrack:falseremovetrack:falsereorderplaylist:falseplaylist:falsetimedisplay:truelight:trueshuffleskipremove:falsesaveandloadplaylist:falsequeuetrack:falseprogressbar:falsemute:trueshowtime:trueshowcover:trueloadfolder:falseshufflerepeat:falseogg:falsemp3:trueskins:truedark:falseclearplaylist:false,Gui.java,loadCancelTest(testset.FeatureAMP9serInterfaceTest),,,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:falseremovetrack:truereorderplaylist:falseplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:truequeuetrack:falseprogressbar:truemute:falseshowtime:falseshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:truedark:falseclearplaylist:false,Gui.java,clearPalyListTest(testset.FeatureAMP9serInterfaceTest),,,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:falseremovetrack:truereorderplaylist:falseplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:truequeuetrack:falseprogressbar:truemute:falseshowtime:falseshowcover:trueloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:truedark:falseclearplaylist:false,Gui.java,init__wrappee__GUITest(testset.GUITest),,,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:falseremovetrack:falsereorderplaylist:trueplaylist:truetimedisplay:truelight:falseshuffleskipremove:truesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:falseshowtime:trueshowcover:trueloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:truedark:trueclearplaylist:false,Gui.java,init__wrappee__GUITest(testset.GUITest),,,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:falseremovetrack:falsereorderplaylist:falseplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:falseshowcover:trueloadfolder:trueshufflerepeat:trueogg:truemp3:falseskins:truedark:falseclearplaylist:false,Gui.java,init__wrappee__GUITest(testset.GUITest),,,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:trueskiptrack:trueremovetrack:falsereorderplaylist:falseplaylist:truetimedisplay:truelight:falseshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:trueprogressbar:truemute:trueshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:falseskins:truedark:trueclearplaylist:false,Gui.java,init__wrappee__GUITest(testset.GUITest),,,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:falseremovetrack:falsereorderplaylist:trueplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:trueprogressbar:truemute:falseshowtime:falseshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:falseskins:truedark:falseclearplaylist:false,Gui.java,init__wrappee__GUITest(testset.GUITest),,,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:trueskiptrack:trueremovetrack:truereorderplaylist:falseplaylist:truetimedisplay:truelight:falseshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:trueprogressbar:truemute:falseshowtime:falseshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:falseskins:truedark:trueclearplaylist:false,Gui.java,init__wrappee__GUITest(testset.GUITest),,,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:falseremovetrack:falsereorderplaylist:falseplaylist:truetimedisplay:truelight:falseshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:falseshowcover:falseloadfolder:trueshufflerepeat:trueogg:falsemp3:trueskins:truedark:trueclearplaylist:false,Gui.java,init__wrappee__GUITest(testset.GUITest),,,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:trueskiptrack:falseremovetrack:falsereorderplaylist:trueplaylist:truetimedisplay:truelight:falseshuffleskipremove:truesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:trueshowtime:falseshowcover:falseloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:truedark:trueclearplaylist:false,Gui.java,init__wrappee__GUITest(testset.GUITest),,,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:falseremovetrack:truereorderplaylist:trueplaylist:truetimedisplay:truelight:falseshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:falseshowcover:falseloadfolder:trueshufflerepeat:trueogg:truemp3:falseskins:truedark:trueclearplaylist:false,Gui.java,init__wrappee__GUITest(testset.GUITest),,,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:trueskiptrack:falseremovetrack:truereorderplaylist:falseplaylist:truetimedisplay:truelight:falseshuffleskipremove:truesaveandloadplaylist:truequeuetrack:trueprogressbar:truemute:falseshowtime:falseshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:falseskins:truedark:trueclearplaylist:true,Gui.java,init__wrappee__GUITest(testset.GUITest),,,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:falseskiptrack:trueremovetrack:falsereorderplaylist:falseplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:falseshowcover:trueloadfolder:trueshufflerepeat:trueogg:truemp3:falseskins:truedark:falseclearplaylist:false,Gui.java,init__wrappee__GUITest(testset.GUITest),,,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:trueskiptrack:trueremovetrack:falsereorderplaylist:trueplaylist:truetimedisplay:truelight:falseshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:falseshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:falseogg:truemp3:falseskins:truedark:trueclearplaylist:false,Gui.java,init__wrappee__GUITest(testset.GUITest),,,
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:trueskiptrack:falseremovetrack:truereorderplaylist:trueplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:trueshowtime:trueshowcover:falseloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:truedark:falseclearplaylist:true,Gui.java,loadTest(testset.FeatureAMP9serInterfaceTest),,loadTest(testset.FeatureAMP9serInterfaceTest),8
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:trueskiptrack:trueremovetrack:truereorderplaylist:trueplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:trueprogressbar:truemute:trueshowtime:falseshowcover:falseloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:truedark:falseclearplaylist:false,Gui.java,loadTest(testset.FeatureAMP9serInterfaceTest),,init__wrappee__GUITest(testset.GUITest),12
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:trueskiptrack:falseremovetrack:falsereorderplaylist:trueplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:falseprogressbar:truemute:trueshowtime:falseshowcover:falseloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:truedark:falseclearplaylist:false,Gui.java,loadTest(testset.FeatureAMP9serInterfaceTest),,loadCancelTest(testset.FeatureAMP9serInterfaceTest),1
weichbrodt_featureamp:truegui:truefilesupport:truevolumecontrol:trueskiptrack:trueremovetrack:truereorderplaylist:falseplaylist:truetimedisplay:truelight:trueshuffleskipremove:truesaveandloadplaylist:falsequeuetrack:trueprogressbar:truemute:trueshowtime:trueshowcover:trueloadfolder:trueshufflerepeat:falseogg:falsemp3:trueskins:truedark:falseclearplaylist:true,Gui.java,loadTest(testset.FeatureAMP9serInterfaceTest),,clearPalyListTest(testset.FeatureAMP9serInterfaceTest),1
