file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
src,experiment.MainIncLingFeatureAMP9,class,14,80,1,0,17,3,3,3,1,0,0,0,4,154
src,testset.FeatureAMP9serInterfaceTest,class,8,73,1,0,19,0,23,22,0,2,0,0,0,609
src,gui.Gui,class,7,311,6,0,176,2467,61,22,0,40,3,1,13,1172
src,players.Player,class,3,14,1,0,5,64,12,12,3,1,0,0,0,47
src,testset.PlayerTest,class,2,4,1,0,5,6,4,4,0,0,0,0,4,42
src,testset.MP3PlayerTest,class,6,46,1,0,25,0,16,16,0,1,0,0,1,247
src,players.PlayerFileFilter,class,0,1,2,0,0,0,1,1,0,0,0,0,0,5
src,experiment.BaselineAdapter,class,6,49,1,0,10,4,4,2,0,1,0,0,2,202
src,gui.Playlist,class,2,65,1,0,18,0,19,17,0,4,0,0,2,179
src,testset.GUITest,class,5,66,1,0,46,0,28,28,0,1,0,0,0,401
src,experiment.MainBaseline,class,1,2,1,0,4,1,2,1,2,0,0,0,3,25
src,players.MP3Player,class,9,51,2,0,44,21,12,12,2,5,0,0,13,221
src,players.OGGPlayer,class,6,41,2,0,34,21,12,12,2,5,0,0,12,202
src,testset.OGGPlayerTest,class,4,10,1,0,8,0,4,4,0,1,0,0,0,263
src,players.TrackMetadata,class,1,47,1,0,3,182,24,23,0,8,0,0,4,123
src,testset.TrackMetadataTest,class,3,37,1,0,20,0,19,19,0,1,0,0,0,172
src,testset.PlayListTest,class,4,85,1,0,35,0,29,29,0,1,0,0,0,467
src,specifications.Configuration,class,4,54,1,0,29,254,29,29,29,27,27,27,49,188
