configuration,trace,Class,description,,,
base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:falsestartcommand:false,PL_Interface_implTest.startTest(PL_Interface_implTest.java:147),PL_Interface_impl,startTest(testset.PL_Interface_implTest),,,
base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:falsestartcommand:false,PL_Interface_implTest.test_3(PL_Interface_implTest.java:204),PL_Interface_impl,test_3(testset.PL_Interface_implTest),,,
base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:falsestartcommand:false,PL_Interface_implTest.test_4(PL_Interface_implTest.java:221),PL_Interface_impl,test_4(testset.PL_Interface_implTest),,,
base:truehighwatersensor:truelowwatersensor:falsemethanequery:truemethanealarm:falsestopcommand:falsestartcommand:false,PL_Interface_implTest.startTest(PL_Interface_implTest.java:147),PL_Interface_impl,startTest(testset.PL_Interface_implTest),,,
base:truehighwatersensor:truelowwatersensor:falsemethanequery:truemethanealarm:falsestopcommand:falsestartcommand:false,PL_Interface_implTest.test_3(PL_Interface_implTest.java:204),PL_Interface_impl,test_3(testset.PL_Interface_implTest),,startTest(testset.PL_Interface_implTest),8
base:truehighwatersensor:truelowwatersensor:falsemethanequery:truemethanealarm:falsestopcommand:falsestartcommand:false,PL_Interface_implTest.test_4(PL_Interface_implTest.java:221),PL_Interface_impl,test_4(testset.PL_Interface_implTest),,test_3(testset.PL_Interface_implTest),8
base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:truestartcommand:false,PL_Interface_implTest.startTest(PL_Interface_implTest.java:147),PL_Interface_impl,startTest(testset.PL_Interface_implTest),,test_4(testset.PL_Interface_implTest),8
base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:truestartcommand:false,PL_Interface_implTest.test_3(PL_Interface_implTest.java:204),PL_Interface_impl,test_3(testset.PL_Interface_implTest),,,24
base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:truestartcommand:false,PL_Interface_implTest.test_4(PL_Interface_implTest.java:221),PL_Interface_impl,test_4(testset.PL_Interface_implTest),,,
base:truehighwatersensor:truelowwatersensor:falsemethanequery:truemethanealarm:falsestopcommand:truestartcommand:false,PL_Interface_implTest.startTest(PL_Interface_implTest.java:147),PL_Interface_impl,startTest(testset.PL_Interface_implTest),,,
base:truehighwatersensor:truelowwatersensor:falsemethanequery:truemethanealarm:falsestopcommand:truestartcommand:false,PL_Interface_implTest.test_3(PL_Interface_implTest.java:204),PL_Interface_impl,test_3(testset.PL_Interface_implTest),,,
base:truehighwatersensor:truelowwatersensor:falsemethanequery:truemethanealarm:falsestopcommand:truestartcommand:false,PL_Interface_implTest.test_4(PL_Interface_implTest.java:221),PL_Interface_impl,test_4(testset.PL_Interface_implTest),,,
base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:falsestartcommand:true,PL_Interface_implTest.startTest(PL_Interface_implTest.java:147),PL_Interface_impl,startTest(testset.PL_Interface_implTest),,,
base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:falsestartcommand:true,PL_Interface_implTest.test_3(PL_Interface_implTest.java:204),PL_Interface_impl,test_3(testset.PL_Interface_implTest),,,
base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:falsestartcommand:true,PL_Interface_implTest.test_4(PL_Interface_implTest.java:221),PL_Interface_impl,test_4(testset.PL_Interface_implTest),,,
base:truehighwatersensor:truelowwatersensor:falsemethanequery:truemethanealarm:falsestopcommand:falsestartcommand:true,PL_Interface_implTest.startTest(PL_Interface_implTest.java:147),PL_Interface_impl,startTest(testset.PL_Interface_implTest),,,
base:truehighwatersensor:truelowwatersensor:falsemethanequery:truemethanealarm:falsestopcommand:falsestartcommand:true,PL_Interface_implTest.test_3(PL_Interface_implTest.java:204),PL_Interface_impl,test_3(testset.PL_Interface_implTest),,,
base:truehighwatersensor:truelowwatersensor:falsemethanequery:truemethanealarm:falsestopcommand:falsestartcommand:true,PL_Interface_implTest.test_4(PL_Interface_implTest.java:221),PL_Interface_impl,test_4(testset.PL_Interface_implTest),,,
base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:truestartcommand:true,PL_Interface_implTest.startTest(PL_Interface_implTest.java:147),PL_Interface_impl,startTest(testset.PL_Interface_implTest),,,
base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:truestartcommand:true,PL_Interface_implTest.test_3(PL_Interface_implTest.java:204),PL_Interface_impl,test_3(testset.PL_Interface_implTest),,,
base:truehighwatersensor:truelowwatersensor:falsemethanequery:falsemethanealarm:falsestopcommand:truestartcommand:true,PL_Interface_implTest.test_4(PL_Interface_implTest.java:221),PL_Interface_impl,test_4(testset.PL_Interface_implTest),,,
base:truehighwatersensor:truelowwatersensor:falsemethanequery:truemethanealarm:falsestopcommand:truestartcommand:true,PL_Interface_implTest.startTest(PL_Interface_implTest.java:147),PL_Interface_impl,startTest(testset.PL_Interface_implTest),,,
base:truehighwatersensor:truelowwatersensor:falsemethanequery:truemethanealarm:falsestopcommand:truestartcommand:true,PL_Interface_implTest.test_3(PL_Interface_implTest.java:204),PL_Interface_impl,test_3(testset.PL_Interface_implTest),,,
base:truehighwatersensor:truelowwatersensor:falsemethanequery:truemethanealarm:falsestopcommand:truestartcommand:true,PL_Interface_implTest.test_4(PL_Interface_implTest.java:221),PL_Interface_impl,test_4(testset.PL_Interface_implTest),,,
