# ACTS Test Suite Generation: Mon Apr 25 21:39:21 BRT 2016
#  '*' represents don't care value 
# Degree of interaction coverage: 4
# Number of parameters: 13
# Maximum number of values per parameter: 2
# Number of configurations: 50
BASE___,DIRECTED___,UNDIRECTED___,WEIGHTED___,SEARCH___,BFS___,NUMBER___,CONNECTED___,STRONGLYCONNECTED___,CYCLE___,MSTPRIM___,MSTKRUSKAL___,SHORTEST___
true,true,true,true,true,true,true,true,true,true,true,true,true
true,true,true,false,false,false,false,false,false,false,false,false,false
true,true,false,true,false,true,false,true,false,true,false,true,false
true,true,false,false,true,false,true,false,true,false,true,false,true
true,false,true,true,false,false,true,true,false,false,true,true,false
true,false,true,false,true,true,false,false,true,true,false,false,true
true,false,false,true,true,false,false,true,true,false,false,false,false
true,false,false,false,false,true,true,false,false,true,true,true,true
false,true,true,true,false,true,true,false,true,false,false,true,false
false,true,true,false,true,false,false,true,false,true,true,false,true
false,true,false,true,true,true,false,false,false,false,true,false,false
false,true,false,false,false,false,true,true,true,true,false,true,true
false,false,true,true,true,false,true,false,false,true,false,false,false
false,false,true,false,false,true,false,true,true,false,true,true,true
false,false,false,true,false,false,false,false,true,true,true,false,true
false,false,false,false,true,true,true,true,false,false,false,true,false
false,false,true,true,true,true,false,true,false,true,false,true,true
true,true,true,false,true,true,true,true,false,false,false,false,true
false,false,false,true,false,true,true,true,true,false,true,false,false
false,true,false,false,false,true,false,false,true,true,false,false,false
true,true,true,true,true,false,false,false,true,true,true,true,false
true,false,true,false,true,false,true,false,true,false,true,true,false
true,true,false,true,false,false,true,false,false,false,false,true,true
false,false,false,false,false,false,false,true,false,false,false,false,true
true,false,false,true,true,true,true,false,false,true,true,false,false
true,false,true,false,false,true,true,true,true,true,false,false,false
false,true,false,true,true,false,false,true,true,false,true,true,true
false,false,true,true,false,false,false,false,false,false,true,true,true
true,false,false,false,true,true,false,true,true,true,true,true,false
false,true,false,false,true,true,true,false,false,true,true,true,true
false,true,true,false,false,false,true,false,true,true,true,false,false
true,false,false,false,true,false,true,true,false,true,false,true,true
true,true,true,true,false,true,false,true,true,false,true,false,true
true,false,false,false,false,false,false,false,true,false,false,true,false
false,true,true,true,false,true,true,true,false,true,true,false,false
true,true,true,true,true,false,true,true,true,true,false,false,true
true,true,true,false,true,true,false,false,false,false,false,true,false
false,false,true,false,false,true,true,false,false,false,false,false,true
false,false,true,true,true,true,true,false,true,false,true,false,true
false,false,false,false,true,false,false,false,true,true,false,true,false
true,false,true,false,false,false,false,false,false,true,true,true,false
false,true,false,false,true,false,true,true,false,false,false,false,false
true,false,false,false,false,true,true,true,false,false,true,false,true
true,true,false,false,false,false,true,true,false,true,true,true,false
false,false,false,true,false,true,false,false,true,false,false,true,true
true,true,false,true,false,true,false,true,false,true,false,false,true
false,true,true,*,true,false,false,true,true,*,false,true,false
true,true,true,*,false,false,false,false,*,true,*,true,true
false,*,*,*,*,*,*,*,*,*,true,true,false
true,false,*,true,*,*,*,*,*,*,*,*,true
